Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
Arbisoft,Pakistan,Lahore,contact@arbisoft.com,known company contact,kontakt@arbisoft.com,arbisoft.com,https://arbisoft.com/careers,
Bookme,Pakistan,Lahore,careers@bookme.pk,company website,"hr@bookme.pk, contact@bookme.pk",bookme.pk,https://bookme.pk/careers,
Cloudflare,Pakistan,Anywhere in the World,hr@cloudflare.com,job posting,,,https://weworkremotely.com/remote-jobs/cloudflare-principal-partner-solutions-engineer-saarc-based-in-bangalore,"Principal Partner Solutions Engineer, SAARC (Based in Bangalore)"
DevBatch,Pakistan,Lahore,careers@devbatch.com,company website,"hr@devbatch.com, inquiry@devbatch.com",devbatch.com,https://devbatch.com/careers,
Devsinc,Pakistan,Lahore / Islamabad,sales@devsinc.com,known company contact,global.business@devsinc.com,devsinc.com,https://devsinc.com/careers,
Dubizzle Labs,Pakistan,Lahore,careers@dubizzlelabs.com,company website,"hr@dubizzlelabs.com, info@dubizzlelabs.com",dubizzlelabs.com,https://dubizzlelabs.com/careers,
Easypaisa,Pakistan,Islamabad,careers@easypaisa.com.pk,company website,"hr@easypaisa.com.pk, info@easypaisa.com.pk, complaints@easypaisa.com.pk",easypaisa.com.pk,https://easypaisa.com.pk/careers,
Finja,Pakistan,Lahore,careers@finja.pk,company website,"hr@finja.pk, info@finja.pk",finja.pk,https://finja.pk/careers,
HazenTech,Pakistan,Islamabad,careers@hazentech.com,company website,hr@hazentech.com,hazentech.com,https://hazentech.com/careers,
LaunchDarkly,Pakistan,Anywhere in the World,careers@launchdarkly.com,job posting,hr@launchdarkly.com,,https://weworkremotely.com/remote-jobs/launchdarkly-backend-engineer-flag-delivery,"Backend Engineer, Flag Delivery"
LMKT,Pakistan,Islamabad,careers@lmkt.com,company website,hr@lmkt.com,lmkt.com,https://lmkt.com/careers,
MCB Bank,Pakistan,Lahore,careers@mcb.com.pk,company website,"hr@mcb.com.pk, varun.mody@mcb.com.pk",mcb.com.pk,https://mcb.com.pk/careers,
Nayatel,Pakistan,Islamabad,careers@nayatel.com,company website,"hr@nayatel.com, billing@nayatel.com",nayatel.com,https://nayatel.com/careers,
Netsmartz,Pakistan,Lahore,careers@netsmartz.com,company website,hr@netsmartz.com,netsmartz.com,https://netsmartz.com/careers,
PureLogics,Pakistan,Lahore,careers@purelogics.com,company website,"hr@purelogics.com, info@purelogics.com",purelogics.com,https://purelogics.com/careers,
Rolustech,Pakistan,Lahore,careers@rolustech.com,company website,hr@rolustech.com,rolustech.com,https://rolustech.com/careers,
Shophive,Pakistan,Lahore,careers@shophive.com,company website,"hr@shophive.com, jobs@shophive.com, info@shophive.com, ceo@shophive.com, corporate@shophive.com",shophive.com,https://shophive.com/careers,
Speridian Technologies,Pakistan,Islamabad,careers@speridian.com,company website,"hr@speridian.com, info@speridian.com",speridian.com,https://speridian.com/careers,
Techverx,Pakistan,Lahore,careers@techverx.com,company website,"hr@techverx.com, info@techverx.com",techverx.com,https://techverx.com/careers,
Teknobuilt,Pakistan,Islamabad,careers@teknobuilt.com,company website,"hr@teknobuilt.com, info@teknobuilt.com",teknobuilt.com,https://teknobuilt.com/careers,
Thoughtworks,Pakistan,PK / global,careers@thoughtworks.com,known company contact,"info-us@thoughtworks.com, sg-th-sharedservices@thoughtworks.com, backgroundverification-india@thoughtworks.com, hr@thoughtworks.com, jobs@thoughtworks.com, talent@thoughtworks.com, recruiting@thoughtworks.com",thoughtworks.com,https://www.thoughtworks.com/careers/jobs/8052979?gh_jid=8052979,Lead Developer (Python /Node.js +React)
Zigron,Pakistan,Islamabad,careers@zigron.com,company website,hr@zigron.com,zigron.com,https://zigron.com/careers,
Doha Bank,Qatar,Doha,careers@dohabank.com.qa,company website,"hr@dohabank.com.qa, hellodoha@dohabank.com.qa",dohabank.com.qa,https://dohabank.com.qa/careers,
Malomatia,Qatar,Doha,careers@malomatia.com,company website,"hr@malomatia.com, info@malomatia.com",malomatia.com,https://malomatia.com/careers,
Mannai,Qatar,Doha,careers@mannai.com,company website,"hr@mannai.com, recruitment@mannai.com.qa",mannai.com,https://mannai.com/careers,
Masraf Al Rayan,Qatar,Doha,careers@alrayan.com,company website,"hr@alrayan.com, ari.info@alrayan.com, u003eari.info@alrayan.com, ir@alrayan.com, u003eir@alrayan.com, shareholdersaffairs@alrayan.com, u003eshareholdersaffairs@alrayan.com, tony.merhej@alrayan.com, wecare@alrayan.com, u003ewecare@alrayan.com",alrayan.com,https://alrayan.com/careers,
Meeza,Qatar,Doha,careers@meeza.net,company website,"hr@meeza.net, investors@meeza.net, info@meeza.net",meeza.net,https://meeza.net/careers,
Sidra Medicine Digital,Qatar,Doha,careers@sidra.org,company website,"hr@sidra.org, international.services@sidra.org, patientfeedback@sidra.org",sidra.org,https://sidra.org/careers,
Almoayyed Computers,Bahrain,Manama,careers@almoayyed.com,company website,"hr@almoayyed.com, jobs@almoayyed.com, crm@almoayyed.com",almoayyed.com,https://almoayyed.com/careers,
Fakhro Electronics,Bahrain,Manama,careers@fakhro.com,company website,"hr@fakhro.com, info@fakhro.com",fakhro.com,https://fakhro.com/careers,
Investcorp,Bahrain,Manama,careers@investcorp.com,company website,"hr@investcorp.com, corpcomms@investcorp.com, investorrelations@investcorp.com, reportcyberfraud@investcorp.com, info@investcorp.com, clientcomplaintsofficer@investcorp.com",investcorp.com,https://investcorp.com/careers,
Tarabut,Bahrain,Manama / remote,careers@tarabut.com,company website,"hr@tarabut.com, info@tarabut.com",tarabut.com,https://tarabut.com/careers,
Tenmou,Bahrain,Manama,careers@tenmou.me,company website,"hr@tenmou.me, info@tenmou.me",tenmou.me,https://tenmou.me/careers,
NBK Digital,Kuwait,Kuwait,careers@nbk.com,company website,"hr@nbk.com, yourcareer@nbk.com.eg",nbk.com,https://nbk.com/careers,
Bank Muscat Digital,Oman,Muscat,careers@bankmuscat.com,company website,"hr@bankmuscat.com, care@bankmuscat.com",bankmuscat.com,https://bankmuscat.com/careers,
Oman Arab Bank Digital,Oman,Muscat,careers@oman-arabbank.com,company website,"hr@oman-arabbank.com, career@oman-arabbank.com",oman-arabbank.com,https://oman-arabbank.com/careers,
Omantel,Oman,Muscat,careers@omantel.om,company website,"hr@omantel.om, self.service@omantel.om, u003ebusiness@omantel.om",omantel.om,https://omantel.om/careers,
Ooredoo Oman,Oman,Muscat,careers@ooredoo.om,company website,"hr@ooredoo.om, b2boutbound@ooredoo.om",ooredoo.om,https://ooredoo.om/careers,
AIQ,UAE,Abu Dhabi,careers@aiq.com,company website,"hr@aiq.com, partnerships@aiq.com",aiq.com,https://aiq.com/careers,
Alaan,UAE,Dubai / remote,careers@alaan.com,company website,hr@alaan.com,alaan.com,https://alaan.com/careers,
Barakat,UAE,Dubai,careers@barakatfresh.ae,company website,"hr@barakatfresh.ae, info@barakatfresh.ae",barakatfresh.ae,https://barakatfresh.ae/careers,
Beehive,UAE,Dubai / remote,careers@beehive.ae,company website,"hr@beehive.ae, info@beehive.ae, sme@beehive.ae, investors@beehive.ae",beehive.ae,https://beehive.ae/careers,
Botim,UAE,Dubai / remote,careers@botim.me,company website,"hr@botim.me, customerservice@botim.me, contact@botim.me",botim.me,https://botim.me/careers,
Cartlow,UAE,Dubai / remote,careers@cartlow.com,company website,"hr@cartlow.com, hello@cartlow.com",cartlow.com,https://cartlow.com/careers,
Checkout.com,UAE,Dubai / remote,careers@checkout.com,known company contact,"pr@checkout.com, yourpayments@checkout.com, talent.acquisition@checkout.com",checkout.com,https://checkout.com/careers,
G42,UAE,Abu Dhabi / remote,careers@g42.ai,company website,"hr@g42.ai, contact@g42.ai",g42.ai,https://g42.ai/careers,
Magnitt,UAE,Dubai / remote,careers@magnitt.com,company website,"hr@magnitt.com, info@magnitt.com",magnitt.com,https://magnitt.com/careers,
MBC Group / Shahid,UAE,Dubai,careers@mbc.net,company website,"hr@mbc.net, care@mbc.net, contact@mbc.net, investor.relations@mbc.net",mbc.net,https://mbc.net/careers,
Now Money,UAE,Dubai / remote,careers@nowmoney.me,company website,"hr@nowmoney.me, pr@nowmoney.me, recruitment@nowmoney.me",nowmoney.me,https://nowmoney.me/careers,
Qashio,UAE,Dubai / remote,careers@qashio.com,company website,hr@qashio.com,qashio.com,https://qashio.com/careers,
Telr,UAE,Dubai / remote,careers@telr.com,company website,"hr@telr.com, partner@telr.com",telr.com,https://telr.com/careers,
Trukker,UAE,Dubai / remote,careers@trukker.com,company website,"hr@trukker.com, career@trukker.com",trukker.com,https://trukker.com/careers,
Almosafer,KSA,Riyadh / remote,careers@almosafer.com,company website,"hr@almosafer.com, u003ecareers@almosafer.com",almosafer.com,https://almosafer.com/careers,
Hala,KSA,Riyadh / remote,careers@halacards.com,company website,"hr@halacards.com, salam@halacards.com",halacards.com,https://halacards.com/careers,
Lucidya,KSA,Riyadh / remote,careers@lucidya.com,company website,"hr@lucidya.com, adedic@lucidya.com, ai-report@lucidya.com",lucidya.com,https://lucidya.com/careers,
Nana,KSA,Riyadh / remote,careers@nana.sa,company website,hr@nana.sa,nana.sa,https://nana.sa/careers,
QnE,KSA,Riyadh,careers@qne.com.sa,company website,"hr@qne.com.sa, info@qne.com.sa",qne.com.sa,https://qne.com.sa/careers,
Seera,KSA,Riyadh,careers@seera.sa,company website,"hr@seera.sa, investors@seera.sa",seera.sa,https://seera.sa/careers,
Tamkeen Technologies,KSA,Riyadh,careers@tamkeentech.sa,company website,"hr@tamkeentech.sa, info@tamkeentech.sa",tamkeentech.sa,https://tamkeentech.sa/careers,
Breadfast,Egypt,Cairo / remote,careers@breadfast.com,company website,"hr@breadfast.com, inquiries@breadfast.com",breadfast.com,https://breadfast.com/careers,
Cequens,Egypt,Cairo / remote,careers@cequens.com,company website,"hr@cequens.com, hello@cequens.com",cequens.com,https://cequens.com/careers,
Elmenus,Egypt,Cairo,careers@elmenus.com,company website,"hr@elmenus.com, guest@elmenus.com",elmenus.com,https://elmenus.com/careers,
Flat6Labs,Egypt,Cairo / remote,careers@flat6labs.com,company website,hr@flat6labs.com,flat6labs.com,https://flat6labs.com/careers,
Halan / MNT-Halan,Egypt,Cairo,careers@halan.com,company website,"hr@halan.com, info@halan.com",halan.com,https://halan.com/careers,
Incorta,Egypt,Cairo / remote,careers@incorta.com,company website,"hr@incorta.com, info@incorta.com",incorta.com,https://incorta.com/careers,
Raya,Egypt,Cairo,careers@rayacorp.com,company website,"hr@rayacorp.com, info@rayacorp.com, fmcg@rayacorp.com, rayait_info@rayacorp.com",rayacorp.com,https://rayacorp.com/careers,
Valify,Egypt,Cairo / remote,careers@valify.me,company website,"hr@valify.me, info@valify.me",valify.me,https://valify.me/careers,
ArabiaWeather,Jordan,Amman,careers@arabiaweather.com,company website,"hr@arabiaweather.com, helpdesk@arabiaweather.com, advertising@arabiaweather.com, stations@arabiaweather.com",arabiaweather.com,https://arabiaweather.com/careers,
Estarta,Jordan,Amman,careers@estarta.com,company website,"hr@estarta.com, info@estarta.com",estarta.com,https://estarta.com/careers,
ProgressSoft,Jordan,Amman / remote,careers@progressoft.com,company website,"hr@progressoft.com, info@progressoft.com",progressoft.com,https://progressoft.com/careers,
Murex,Lebanon,Beirut / remote,careers@murex.com,company website,"hr@murex.com, website@murex.com",murex.com,https://murex.com/careers,
AppsFlyer,MENA,Tel Aviv / remote,careers@appsflyer.com,company website,"hr@appsflyer.com, agency@appsflyer.com, globalops@appsflyer.com, partners@appsflyer.com, liron.or@appsflyer.com",appsflyer.com,https://appsflyer.com/careers,
Bayzat,MENA,Dubai,careers@bayzat.com,company website,"hr@bayzat.com, recruitment@bayzat.com",bayzat.com,https://bayzat.com/careers,
Delivery Hero,MENA,Dubai / Berlin,careers@deliveryhero.com,known company contact,,deliveryhero.com,https://deliveryhero.com/careers,
Emirates Group IT,MENA,Dubai,careers@emirates.com,company website,"hr@emirates.com, pr@emirates.com, buerrek2@emirates.com, saorrek@emirates.com",emirates.com,https://emirates.com/careers,
Foodics,MENA,Riyadh,careers@foodics.com,company website,"hr@foodics.com, info@foodics.com",foodics.com,https://foodics.com/careers,
Fresha,MENA,Dubai / remote,careers@fresha.com,company website,"hr@fresha.com, jobs@fresha.com",fresha.com,https://fresha.com/careers,
Huspy,MENA,Dubai,careers@huspy.com,company website,"hr@huspy.com, hi@huspy.com",huspy.com,https://huspy.com/careers,
Kitopi,MENA,Dubai,careers@kitopi.com,company website,"hr@kitopi.com, info@kitopi.com, nouha@kitopi.com",kitopi.com,https://kitopi.com/careers,
MaxAB,MENA,Cairo,careers@maxab.io,company website,"hr@maxab.io, info@maxab.io",maxab.io,https://maxab.io/careers,
Monday.com,MENA,Tel Aviv / remote,careers@monday.com,company website,"hr@monday.com, accessibility@monday.com",monday.com,https://monday.com/careers,
Qlub,MENA,Dubai,careers@qlub.io,company website,"hr@qlub.io, info-xx@qlub.io, info@qlub.io, info-sa@qlub.io, info-kw@qlub.io, info-qa@qlub.io, info-au@qlub.io, info-sg@qlub.io, info-my@qlub.io, info-hk@qlub.io, info-kr@qlub.io, info-br@qlub.io, info-us@qlub.io, info.bh@qlub.io, info.eg@qlub.io, info.jo@qlub.io",qlub.io,https://qlub.io/careers,
Tipalti,MENA,Tel Aviv / remote,careers@tipalti.com,company website,"hr@tipalti.com, contact@tipalti.com",tipalti.com,https://tipalti.com/careers,
Aspire,Singapore,Singapore / remote,careers@aspireapp.com,company website,"hr@aspireapp.com, singapore-dpo@aspireapp.com",aspireapp.com,https://aspireapp.com/careers,
Ninja Van,Singapore,Singapore / remote,careers@ninjavan.co,company website,"hr@ninjavan.co, shippercare_sg@ninjavan.co, sg-coe-comms@ninjavan.co",ninjavan.co,https://ninjavan.co/careers,
Nium,Singapore,Singapore / remote,careers@nium.com,company website,"hr@nium.com, ir@nium.com",nium.com,https://nium.com/careers,
Sea Group,Singapore,Singapore,careers@sea.com,company website,"hr@sea.com, ir@sea.com, partnership@sea.com",sea.com,https://sea.com/careers,
MoneyLion Malaysia,Malaysia,Kuala Lumpur / remote,careers@moneylion.com,company website,"hr@moneylion.com, customercare@moneylion.com, -customercare@moneylion.com",moneylion.com,https://moneylion.com/careers,
Adevinta,Europe,Barcelona / remote,careers@adevinta.com,company website,"hr@adevinta.com, contact@adevinta.com",adevinta.com,https://adevinta.com/careers,
Aircall,Europe,Paris / remote,careers@aircall.io,company website,hr@aircall.io,aircall.io,https://aircall.io/careers,
Aiven,Europe,Helsinki / remote,careers@aiven.io,company website,"hr@aiven.io, recruitment@aiven.io",aiven.io,https://aiven.io/careers,
Ajax Systems,Europe,Kyiv / remote,careers@ajax.systems,company website,hr@ajax.systems,ajax.systems,https://ajax.systems/careers,
Alan,Europe,Paris / remote,careers@alan.com,company website,"hr@alan.com, contact@alan.com",alan.com,https://alan.com/careers,
Algolia,Europe,Paris / remote,careers@algolia.com,company website,"hr@algolia.com, partners@algolia.com, billing@algolia.com",algolia.com,https://algolia.com/careers,
AUTO1,Europe,Berlin / remote,careers@auto1-group.com,company website,"hr@auto1-group.com, info@auto1-group.com, ir@auto1-group.com, hr-be@auto1.com, hr-see@auto1.com, hr-dk@auto1.com, talentacquisition_hq@auto1.com, recruitment-nl@auto1.com",auto1-group.com,https://auto1-group.com/careers,
Bird,Europe,Amsterdam / remote,careers@bird.com,company website,hr@bird.com,bird.com,https://bird.com/careers,
Bunny.net,Europe,Slovenia / remote,careers@bunny.net,company website,"hr@bunny.net, hello@bunny.net",bunny.net,https://bunny.net/careers,
Bunq,Europe,Amsterdam / remote,careers@bunq.com,company website,hr@bunq.com,bunq.com,https://bunq.com/careers,
Celonis,Europe,Munich / remote,careers@celonis.com,company website,"hr@celonis.com, info@celonis.com",celonis.com,https://celonis.com/careers,
Contentsquare,Europe,Paris / remote,careers@contentsquare.com,company website,"hr@contentsquare.com, people.ops@contentsquare.com, contact-fr@contentsquare.com, contact-uk@contentsquare.com, contact-us@contentsquare.com, contact-ita@contentsquare.com",contentsquare.com,https://contentsquare.com/careers,
CrowdStrike,Europe,"Germany,  Ireland,  Israel,  Romania,  UK",recruiting@crowdstrike.com,job posting,,,https://jobicy.com/jobs/145057-sr-security-researcher-ii-remote-deu,"Sr. Security Researcher II (Remote, DEU)"
Darktrace,Europe,Cambridge / remote,careers@darktrace.com,company website,hr@darktrace.com,darktrace.com,https://darktrace.com/careers,
DeepL,Europe,Cologne / remote,careers@deepl.com,company website,"hr@deepl.com, block@deepl.com, u003eblock@deepl.com",deepl.com,https://deepl.com/careers,
Doist,Europe,Europe / remote,careers@doist.com,company website,hr@doist.com,doist.com,https://doist.com/careers,
Dynatrace,Europe,Linz / remote,careers@dynatrace.com,company website,"hr@dynatrace.com, emeainfo@dynatrace.com, research@dynatrace.com, office.brno@dynatrace.com, dt-egypt-partner@dynatrace.com, pauli.karkkainen@dynatrace.com, dt-greece-partner@dynatrace.com, office.tel-aviv@dynatrace.com, gdn.office@dynatrace.com, meinfo@dynatrace.com, dt-south-africa-partner@dynatrace.com, bcn.office@dynatrace.com, dt-turkey-partner@dynatrace.com, india.contact@dynatrace.com, japan.info@dynatrace.com, korea.info@dynatrace.com",dynatrace.com,https://dynatrace.com/careers,
Faculty,Europe,London / remote,careers@faculty.ai,company website,hr@faculty.ai,faculty.ai,https://faculty.ai/careers,
Fenergo,Europe,Dublin / remote,careers@fenergo.com,company website,"hr@fenergo.com, hello@fenergo.com, partners@fenergo.com",fenergo.com,https://fenergo.com/careers,
Framer,Europe,Amsterdam / remote,careers@framer.com,company website,"hr@framer.com, abuse@framer.com",framer.com,https://framer.com/careers,
Ghost,Europe,Singapore / remote,careers@ghost.org,company website,hr@ghost.org,ghost.org,https://ghost.org/careers,
GitBook,Europe,Europe / remote,careers@gitbook.com,company website,hr@gitbook.com,gitbook.com,https://gitbook.com/careers,
Gitpod,Europe,Europe / remote,careers@gitpod.io,company website,"hr@gitpod.io, contact@gitpod.io",gitpod.io,https://gitpod.io/careers,
GoCardless,Europe,London / remote,careers@gocardless.com,company website,hr@gocardless.com,gocardless.com,https://gocardless.com/careers,
Grafana Labs,Europe,Europe / remote,careers@grafana.com,company website,"hr@grafana.com, info@grafana.com, partners@grafana.com",grafana.com,https://grafana.com/careers,
Hetzner,Europe,Germany / remote,careers@hetzner.com,company website,"hr@hetzner.com, info@hetzner.com, tco@hetzner.com, dsa-authorities@hetzner.com",hetzner.com,https://hetzner.com/careers,
Intercom,Europe,Dublin / remote,careers@intercom.com,company website,hr@intercom.com,intercom.com,https://intercom.com/careers,
Jobandtalent,Europe,Madrid / remote,careers@jobandtalent.com,company website,"hr@jobandtalent.com, info.de@jobandtalent.com",jobandtalent.com,https://jobandtalent.com/careers,
King,Europe,Stockholm / remote,careers@king.com,company website,"hr@king.com, de.help@king.com",king.com,https://king.com/careers,
Langfuse,Europe,Berlin / remote,careers@langfuse.com,company website,"hr@langfuse.com, contact@langfuse.com",langfuse.com,https://langfuse.com/careers,
Leapsome,Europe,Berlin / remote,careers@leapsome.com,company website,hr@leapsome.com,leapsome.com,https://leapsome.com/careers,
Mirantis,Europe,Europe,isamoylova@mirantis.com,job posting,,,https://jobicy.com/jobs/150239-pre-sales-solution-architect-ai-infrastructure-remote-in-the-eu,Pre-Sales Solution Architect – AI Infrastructure (remote in the EU)
Mistral AI,Europe,Paris / remote,careers@mistral.ai,company website,"hr@mistral.ai, peter@mistral.ai",mistral.ai,https://mistral.ai/careers,
Mollie,Europe,Amsterdam / remote,careers@mollie.com,company website,"hr@mollie.com, info@mollie.com",mollie.com,https://mollie.com/careers,
Monzo,Europe,London / remote,careers@monzo.com,company website,"hr@monzo.com, u003ehelp@monzo.com",monzo.com,https://monzo.com/careers,
N26,Europe,Berlin / remote,careers@n26.com,company website,"hr@n26.com, imprint@n26.com, officials@n26.com, nimprint@n26.com, sam.walker@n26.com, jobs@n26.com, talent@n26.com, recruiting@n26.com",n26.com,https://n26.com/en-eu/careers/positions/8020406?gh_jid=8020406,Principal AI Engineer - Conversational Banking
Nexthink,Europe,Lausanne / remote,careers@nexthink.com,company website,"hr@nexthink.com, ncontact@nexthink.com",nexthink.com,https://nexthink.com/careers,
Nord Security,Europe,Vilnius / remote,careers@nordsecurity.com,company website,"hr@nordsecurity.com, career@nordsec.com",nordsecurity.com,https://nordsecurity.com/careers,
OutSystems,Europe,Lisbon / remote,careers@outsystems.com,company website,hr@outsystems.com,outsystems.com,https://outsystems.com/careers,
Payhawk,Europe,London / remote,careers@payhawk.com,company website,hr@payhawk.com,payhawk.com,https://payhawk.com/careers,
Personio,Europe,Munich / remote,careers@personio.com,company website,"hr@personio.com, hello@personio.com",personio.com,https://personio.com/careers,
Phaidra,Europe,Europe,hiring@phaidra.ai,job posting,,,https://jobicy.com/jobs/149863-senior-ai-research-engineer,Senior AI Research Engineer
Plausible,Europe,Europe / remote,hello@plausible.io,known company contact,,plausible.io,https://plausible.io/careers,
Pleo,Europe,Copenhagen / remote,careers@pleo.io,company website,"hr@pleo.io, partners@pleo.io, info@pleo.io",pleo.io,https://pleo.io/careers,
PostHog,Europe,Europe / remote,careers@posthog.com,company website,hr@posthog.com,posthog.com,https://posthog.com/careers,
Proton,Europe,Geneva / remote,careers@proton.me,company website,"hr@proton.me, careers@proton.ch",proton.me,https://proton.me/careers,
RELEX,Europe,Helsinki / remote,careers@relexsolutions.com,company website,"hr@relexsolutions.com, recruitment@relexsolutions.com",relexsolutions.com,https://relexsolutions.com/careers,
Remote,Europe,Lisbon / remote,careers@remote.com,company website,"hr@remote.com, help@remote.com, hiring@remote.com",remote.com,https://remote.com/careers,
SafetyWing,Europe,Europe / remote,careers@safetywing.com,company website,"hr@safetywing.com, partnerships@safetywing.com",safetywing.com,https://safetywing.com/careers,
Scandit,Europe,Zurich / remote,careers@scandit.com,company website,"hr@scandit.com, contact@scandit.com",scandit.com,https://scandit.com/careers,
Shift Technology,Europe,Paris / remote,careers@shift-technology.com,company website,"hr@shift-technology.com, jobs@shift-technology.com, partners@shift-technology.com",shift-technology.com,https://shift-technology.com/careers,
SoundCloud,Europe,Berlin / remote,careers@soundcloud.com,company website,"hr@soundcloud.com, dsa-contact@soundcloud.com, tco-contact@soundcloud.com, u003edsa-contact@soundcloud.com, u003etco-contact@soundcloud.com, recruiters@soundcloud.com, fraudulent-emails@soundcloud.com",soundcloud.com,https://soundcloud.com/careers,
