Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
Now Money,UAE,Dubai / remote,careers@nowmoney.me,company website,"pr@nowmoney.me, hr@nowmoney.me, recruitment@nowmoney.me",nowmoney.me,https://nowmoney.me/careers,
Qashio,UAE,Dubai / remote,careers@qashio.com,company website,hr@qashio.com,qashio.com,https://qashio.com/careers,
Telr,UAE,Dubai / remote,careers@telr.com,company website,"partner@telr.com, hr@telr.com",telr.com,https://telr.com/careers,
Trukker,UAE,Dubai / remote,careers@trukker.com,company website,"hr@trukker.com, career@trukker.com",trukker.com,https://trukker.com/careers,
Almosafer,KSA,Riyadh / remote,careers@almosafer.com,company website,"hr@almosafer.com, u003ecareers@almosafer.com",almosafer.com,https://almosafer.com/careers,
Foodics,KSA,Riyadh / remote,careers@foodics.com,company website,"info@foodics.com, hr@foodics.com",foodics.com,https://foodics.com/careers,
Hala,KSA,Riyadh / remote,careers@halacards.com,company website,"hr@halacards.com, salam@halacards.com",halacards.com,https://halacards.com/careers,
Lucidya,KSA,Riyadh / remote,careers@lucidya.com,company website,"adedic@lucidya.com, ai-report@lucidya.com, hr@lucidya.com",lucidya.com,https://lucidya.com/careers,
Nana,KSA,Riyadh / remote,careers@nana.sa,company website,hr@nana.sa,nana.sa,https://nana.sa/careers,
QnE,KSA,Riyadh,careers@qne.com.sa,company website,"info@qne.com.sa, hr@qne.com.sa",qne.com.sa,https://qne.com.sa/careers,
Seera,KSA,Riyadh,careers@seera.sa,company website,"investors@seera.sa, hr@seera.sa",seera.sa,https://seera.sa/careers,
Tamkeen Technologies,KSA,Riyadh,careers@tamkeentech.sa,company website,"info@tamkeentech.sa, hr@tamkeentech.sa",tamkeentech.sa,https://tamkeentech.sa/careers,
Breadfast,Egypt,Cairo / remote,careers@breadfast.com,company website,"inquiries@breadfast.com, hr@breadfast.com",breadfast.com,https://breadfast.com/careers,
Cequens,Egypt,Cairo / remote,careers@cequens.com,company website,"hello@cequens.com, hr@cequens.com",cequens.com,https://cequens.com/careers,
Elmenus,Egypt,Cairo,careers@elmenus.com,company website,"guest@elmenus.com, hr@elmenus.com",elmenus.com,https://elmenus.com/careers,
Flat6Labs,Egypt,Cairo / remote,careers@flat6labs.com,company website,hr@flat6labs.com,flat6labs.com,https://flat6labs.com/careers,
Halan / MNT-Halan,Egypt,Cairo,careers@halan.com,company website,"info@halan.com, hr@halan.com",halan.com,https://halan.com/careers,
Incorta,Egypt,Cairo / remote,careers@incorta.com,company website,"info@incorta.com, hr@incorta.com",incorta.com,https://incorta.com/careers,
Raya,Egypt,Cairo,careers@rayacorp.com,company website,"info@rayacorp.com, fmcg@rayacorp.com, rayait_info@rayacorp.com, hr@rayacorp.com",rayacorp.com,https://rayacorp.com/careers,
Valify,Egypt,Cairo / remote,careers@valify.me,company website,"info@valify.me, hr@valify.me",valify.me,https://valify.me/careers,
ArabiaWeather,Jordan,Amman,careers@arabiaweather.com,company website,"helpdesk@arabiaweather.com, advertising@arabiaweather.com, stations@arabiaweather.com, hr@arabiaweather.com",arabiaweather.com,https://arabiaweather.com/careers,
Estarta,Jordan,Amman,careers@estarta.com,company website,"info@estarta.com, hr@estarta.com",estarta.com,https://estarta.com/careers,
ProgressSoft,Jordan,Amman / remote,careers@progressoft.com,company website,"hr@progressoft.com, info@progressoft.com",progressoft.com,https://progressoft.com/careers,
Murex,Lebanon,Beirut / remote,careers@murex.com,company website,"website@murex.com, hr@murex.com",murex.com,https://murex.com/careers,
AppsFlyer,MENA,Tel Aviv / remote,careers@appsflyer.com,company website,"agency@appsflyer.com, globalops@appsflyer.com, partners@appsflyer.com, liron.or@appsflyer.com, hr@appsflyer.com",appsflyer.com,https://appsflyer.com/careers,
Bayzat,MENA,Dubai,careers@bayzat.com,company website,"recruitment@bayzat.com, hr@bayzat.com",bayzat.com,https://bayzat.com/careers,
Delivery Hero,MENA,Dubai / Berlin,careers@deliveryhero.com,known company contact,,deliveryhero.com,https://deliveryhero.com/careers,
Emirates Group IT,MENA,Dubai,careers@emirates.com,company website,"pr@emirates.com, buerrek2@emirates.com, saorrek@emirates.com, hr@emirates.com",emirates.com,https://emirates.com/careers,
Fresha,MENA,Dubai / remote,careers@fresha.com,company website,"hr@fresha.com, jobs@fresha.com",fresha.com,https://fresha.com/careers,
Huspy,MENA,Dubai,careers@huspy.com,company website,"hr@huspy.com, hi@huspy.com",huspy.com,https://huspy.com/careers,
MaxAB,MENA,Cairo,careers@maxab.io,company website,"hr@maxab.io, info@maxab.io",maxab.io,https://maxab.io/careers,
Monday.com,MENA,Tel Aviv / remote,careers@monday.com,company website,"hr@monday.com, accessibility@monday.com",monday.com,https://monday.com/careers,
Qlub,MENA,Dubai,careers@qlub.io,company website,"info-xx@qlub.io, info@qlub.io, info-sa@qlub.io, info-kw@qlub.io, info-qa@qlub.io, info-au@qlub.io, info-sg@qlub.io, info-my@qlub.io, info-hk@qlub.io, info-kr@qlub.io, info-br@qlub.io, info-us@qlub.io, info.bh@qlub.io, info.eg@qlub.io, info.jo@qlub.io, hr@qlub.io",qlub.io,https://qlub.io/careers,
Tipalti,MENA,Tel Aviv / remote,careers@tipalti.com,company website,"contact@tipalti.com, hr@tipalti.com",tipalti.com,https://tipalti.com/careers,
Advance.AI,Singapore,Singapore / remote,careers@advance.ai,company website,"help@advance.ai, hr@advance.ai",advance.ai,https://advance.ai/careers,
Aspire,Singapore,Singapore / remote,careers@aspireapp.com,company website,"singapore-dpo@aspireapp.com, hr@aspireapp.com",aspireapp.com,https://aspireapp.com/careers,
Lazada,Singapore,Singapore / remote,careers@lazada.com,company website,"lazada-tech-infra@lazada.com, hr@lazada.com",lazada.com,https://lazada.com/careers,
Ninja Van,Singapore,Singapore / remote,careers@ninjavan.co,company website,"shippercare_sg@ninjavan.co, sg-coe-comms@ninjavan.co, hr@ninjavan.co",ninjavan.co,https://ninjavan.co/careers,
Nium,Singapore,Singapore / remote,careers@nium.com,company website,"ir@nium.com, hr@nium.com",nium.com,https://nium.com/careers,
Razer,Singapore,Singapore / remote,razerstore.lv@razer.com,company website,"razerstore.sf@razer.com, razerstore.sea@razer.com, razerstore.atx@razer.com, test_razerstore@razer.com, razerstore.pnj@razer.com, razerstore.sd@razer.com, razerstore.la@razer.com, razerstore.miami@razer.com, razerstore.kop@razer.com, razerstore.ny@razer.com, razerstore.orlando@razer.com, razerstore.sj@razer.com",razer.com,https://razer.com/careers,
Sea Group,Singapore,Singapore,careers@sea.com,company website,"ir@sea.com, partnership@sea.com, hr@sea.com",sea.com,https://sea.com/careers,
Secretlab,Singapore,Singapore / remote,u003e@secretlab.co,company website,,secretlab.co,https://secretlab.co/careers,
BigPay,Malaysia,Kuala Lumpur / remote,careers@bigpayme.com,company website,hr@bigpayme.com,bigpayme.com,https://bigpayme.com/careers,
MoneyLion Malaysia,Malaysia,Kuala Lumpur / remote,careers@moneylion.com,company website,"customercare@moneylion.com, -customercare@moneylion.com, hr@moneylion.com",moneylion.com,https://moneylion.com/careers,
Adevinta,Europe,Barcelona / remote,careers@adevinta.com,company website,"contact@adevinta.com, hr@adevinta.com",adevinta.com,https://adevinta.com/careers,
Aircall,Europe,Paris / remote,careers@aircall.io,company website,hr@aircall.io,aircall.io,https://aircall.io/careers,
Aiven,Europe,Helsinki / remote,careers@aiven.io,company website,"hr@aiven.io, recruitment@aiven.io",aiven.io,https://aiven.io/careers,
Ajax Systems,Europe,Kyiv / remote,careers@ajax.systems,company website,hr@ajax.systems,ajax.systems,https://ajax.systems/careers,
Alan,Europe,Paris / remote,careers@alan.com,company website,"hr@alan.com, contact@alan.com",alan.com,https://alan.com/careers,
Algolia,Europe,Paris / remote,careers@algolia.com,company website,"partners@algolia.com, billing@algolia.com, hr@algolia.com",algolia.com,https://algolia.com/careers,
AUTO1,Europe,Berlin / remote,careers@auto1-group.com,company website,"info@auto1-group.com, hr@auto1-group.com, ir@auto1-group.com, hr-be@auto1.com, hr-see@auto1.com, hr-dk@auto1.com, talentacquisition_hq@auto1.com, recruitment-nl@auto1.com",auto1-group.com,https://auto1-group.com/careers,
Bird,Europe,Amsterdam / remote,careers@bird.com,company website,hr@bird.com,bird.com,https://bird.com/careers,
Bunny.net,Europe,Slovenia / remote,careers@bunny.net,company website,"hello@bunny.net, hr@bunny.net",bunny.net,https://bunny.net/careers,
Bunq,Europe,Amsterdam / remote,careers@bunq.com,company website,hr@bunq.com,bunq.com,https://bunq.com/careers,
Cal.com,Europe,Europe / remote,careers@cal.com,company website,hr@cal.com,cal.com,https://cal.com/careers,
Casavo,Europe,Milan / remote,u003eassistenza@casavo.com,company website,"u003eaide@casavo.com, dpo@casavo.com, gdpr@casavo.com, u003edpo@casavo.com, assistenza@casavo.com, aide@casavo.com",casavo.com,https://casavo.com/careers,
Celonis,Europe,Munich / remote,careers@celonis.com,company website,"info@celonis.com, hr@celonis.com",celonis.com,https://celonis.com/careers,
Contentsquare,Europe,Paris / remote,careers@contentsquare.com,company website,"people.ops@contentsquare.com, hr@contentsquare.com, contact-fr@contentsquare.com, contact-uk@contentsquare.com, contact-us@contentsquare.com, contact-ita@contentsquare.com",contentsquare.com,https://contentsquare.com/careers,
Cortilia,Europe,Milan / remote,aiuto@cortilia.it,company website,,cortilia.it,https://cortilia.it/careers,
CoverManager,Europe,Seville / remote,hospitality@covermanager.com,company website,"contacto@covermanager.com, hospitality.latam@covermanager.com",covermanager.com,https://covermanager.com/careers,
CrowdStrike,Europe,"Germany,  Ireland,  Israel,  Romania,  UK",recruiting@crowdstrike.com,job posting,,,https://jobicy.com/jobs/145057-sr-security-researcher-ii-remote-deu,"Sr. Security Researcher II (Remote, DEU)"
Darktrace,Europe,Cambridge / remote,careers@darktrace.com,company website,hr@darktrace.com,darktrace.com,https://darktrace.com/careers,
DeepL,Europe,Cologne / remote,careers@deepl.com,company website,"block@deepl.com, u003eblock@deepl.com, hr@deepl.com",deepl.com,https://deepl.com/careers,
Doist,Europe,Europe / remote,careers@doist.com,company website,hr@doist.com,doist.com,https://doist.com/careers,
Dynatrace,Europe,Linz / remote,careers@dynatrace.com,company website,"emeainfo@dynatrace.com, research@dynatrace.com, office.brno@dynatrace.com, dt-egypt-partner@dynatrace.com, pauli.karkkainen@dynatrace.com, dt-greece-partner@dynatrace.com, office.tel-aviv@dynatrace.com, gdn.office@dynatrace.com, meinfo@dynatrace.com, dt-south-africa-partner@dynatrace.com, bcn.office@dynatrace.com, dt-turkey-partner@dynatrace.com, india.contact@dynatrace.com, japan.info@dynatrace.com, korea.info@dynatrace.com, hr@dynatrace.com",dynatrace.com,https://dynatrace.com/careers,
Exoscale,Europe,Lausanne / remote,careers@exoscale.com,company website,hr@exoscale.com,exoscale.com,https://exoscale.com/careers,
Faculty,Europe,London / remote,careers@faculty.ai,company website,hr@faculty.ai,faculty.ai,https://faculty.ai/careers,
Fenergo,Europe,Dublin / remote,careers@fenergo.com,company website,"hello@fenergo.com, partners@fenergo.com, hr@fenergo.com",fenergo.com,https://fenergo.com/careers,
Framer,Europe,Amsterdam / remote,careers@framer.com,company website,"abuse@framer.com, hr@framer.com",framer.com,https://framer.com/careers,
Ghost,Europe,Singapore / remote,careers@ghost.org,company website,hr@ghost.org,ghost.org,https://ghost.org/careers,
GitBook,Europe,Europe / remote,careers@gitbook.com,company website,hr@gitbook.com,gitbook.com,https://gitbook.com/careers,
Gitpod,Europe,Europe / remote,careers@gitpod.io,company website,"contact@gitpod.io, hr@gitpod.io",gitpod.io,https://gitpod.io/careers,
GoCardless,Europe,London / remote,careers@gocardless.com,company website,hr@gocardless.com,gocardless.com,https://gocardless.com/careers,
Grafana Labs,Europe,Europe / remote,careers@grafana.com,company website,"info@grafana.com, partners@grafana.com, hr@grafana.com",grafana.com,https://grafana.com/careers,
Habitissimo,Europe,Palma / remote,soporte@habitissimo.com,company website,,habitissimo.com,https://habitissimo.com/careers,
Hetzner,Europe,Germany / remote,careers@hetzner.com,company website,"info@hetzner.com, tco@hetzner.com, dsa-authorities@hetzner.com, hr@hetzner.com",hetzner.com,https://hetzner.com/careers,
Intercom,Europe,Dublin / remote,careers@intercom.com,company website,hr@intercom.com,intercom.com,https://intercom.com/careers,
Jobandtalent,Europe,Madrid / remote,careers@jobandtalent.com,company website,"info.de@jobandtalent.com, hr@jobandtalent.com",jobandtalent.com,https://jobandtalent.com/careers,
King,Europe,Stockholm / remote,careers@king.com,company website,"de.help@king.com, hr@king.com",king.com,https://king.com/careers,
Langfuse,Europe,Berlin / remote,careers@langfuse.com,company website,"contact@langfuse.com, hr@langfuse.com",langfuse.com,https://langfuse.com/careers,
Leapsome,Europe,Berlin / remote,careers@leapsome.com,company website,hr@leapsome.com,leapsome.com,https://leapsome.com/careers,
Mirantis,Europe,Europe,isamoylova@mirantis.com,job posting,,,https://jobicy.com/jobs/150239-pre-sales-solution-architect-ai-infrastructure-remote-in-the-eu,Pre-Sales Solution Architect – AI Infrastructure (remote in the EU)
Mistral AI,Europe,Paris / remote,careers@mistral.ai,company website,"peter@mistral.ai, hr@mistral.ai",mistral.ai,https://mistral.ai/careers,
Mollie,Europe,Amsterdam / remote,careers@mollie.com,company website,"info@mollie.com, hr@mollie.com",mollie.com,https://mollie.com/careers,
Moneyfarm,Europe,Milan / remote,hello@moneyfarm.com,company website,,moneyfarm.com,https://moneyfarm.com/careers,
Monzo,Europe,London / remote,careers@monzo.com,company website,"hr@monzo.com, u003ehelp@monzo.com",monzo.com,https://monzo.com/careers,
N26,Europe,Berlin / remote,careers@n26.com,company website,"imprint@n26.com, officials@n26.com, nimprint@n26.com, hr@n26.com, sam.walker@n26.com, jobs@n26.com, talent@n26.com, recruiting@n26.com",n26.com,https://n26.com/en-eu/careers/positions/8020406?gh_jid=8020406,Principal AI Engineer - Conversational Banking
Nexthink,Europe,Lausanne / remote,careers@nexthink.com,company website,"ncontact@nexthink.com, hr@nexthink.com",nexthink.com,https://nexthink.com/careers,
Nord Security,Europe,Vilnius / remote,careers@nordsecurity.com,company website,"career@nordsec.com, hr@nordsecurity.com",nordsecurity.com,https://nordsecurity.com/careers,
OutSystems,Europe,Lisbon / remote,careers@outsystems.com,company website,hr@outsystems.com,outsystems.com,https://outsystems.com/careers,
Payhawk,Europe,London / remote,careers@payhawk.com,company website,hr@payhawk.com,payhawk.com,https://payhawk.com/careers,
Personio,Europe,Munich / remote,careers@personio.com,company website,"hr@personio.com, hello@personio.com",personio.com,https://personio.com/careers,
Phaidra,Europe,Europe,hiring@phaidra.ai,job posting,,,https://jobicy.com/jobs/149863-senior-ai-research-engineer,Senior AI Research Engineer
Plausible,Europe,Europe / remote,hello@plausible.io,known + company website,,plausible.io,https://plausible.io/careers,
Pleo,Europe,Copenhagen / remote,careers@pleo.io,company website,"partners@pleo.io, info@pleo.io, hr@pleo.io",pleo.io,https://pleo.io/careers,
PostHog,Europe,Europe / remote,careers@posthog.com,company website,hr@posthog.com,posthog.com,https://posthog.com/careers,
Proton,Europe,Geneva / remote,careers@proton.me,company website,"hr@proton.me, careers@proton.ch",proton.me,https://proton.me/careers,
RELEX,Europe,Helsinki / remote,careers@relexsolutions.com,company website,"hr@relexsolutions.com, recruitment@relexsolutions.com",relexsolutions.com,https://relexsolutions.com/careers,
Remote,Europe,Lisbon / remote,careers@remote.com,company website,"help@remote.com, hr@remote.com, hiring@remote.com",remote.com,https://remote.com/careers,
SafetyWing,Europe,Europe / remote,careers@safetywing.com,company website,"partnerships@safetywing.com, hr@safetywing.com",safetywing.com,https://safetywing.com/careers,
Scandit,Europe,Zurich / remote,careers@scandit.com,company website,"contact@scandit.com, hr@scandit.com",scandit.com,https://scandit.com/careers,
Shift Technology,Europe,Paris / remote,jobs@shift-technology.com,company website,"partners@shift-technology.com, careers@shift-technology.com, hr@shift-technology.com",shift-technology.com,https://shift-technology.com/careers,
Snowplow,Europe,London / remote,careers@snowplow.io,company website,hr@snowplow.io,snowplow.io,https://snowplow.io/careers,
SoundCloud,Europe,Berlin / remote,careers@soundcloud.com,company website,"dsa-contact@soundcloud.com, tco-contact@soundcloud.com, u003edsa-contact@soundcloud.com, u003etco-contact@soundcloud.com, hr@soundcloud.com, recruiters@soundcloud.com, fraudulent-emails@soundcloud.com",soundcloud.com,https://soundcloud.com/careers,
Speechmatics,Europe,Cambridge / remote,careers@speechmatics.com,company website,"hello@speechmatics.com, hr@speechmatics.com",speechmatics.com,https://speechmatics.com/careers,
Spendesk,Europe,Paris / remote,careers@spendesk.com,company website,hr@spendesk.com,spendesk.com,https://spendesk.com/careers,
Stability AI,Europe,London / remote,careers@stability.ai,company website,"partners@stability.ai, hr@stability.ai",stability.ai,https://stability.ai/careers,
Starling Bank,Europe,London / remote,careers@starlingbank.com,company website,"help@starlingbank.com, speaking.invitations@starlingbank.com, brandpartnerships@starlingbank.com, accounts@starlingbank.com, hr@starlingbank.com",starlingbank.com,https://starlingbank.com/careers,
Strapi,Europe,Paris / remote,careers@strapi.io,company website,hr@strapi.io,strapi.io,https://strapi.io/careers,
Supermetrics,Europe,Helsinki / remote,careers@supermetrics.com,company website,hr@supermetrics.com,supermetrics.com,https://supermetrics.com/careers,
Swan,Europe,Paris / remote,careers@swan.io,company website,"requisition@swan.io, hr@swan.io",swan.io,https://swan.io/careers,
Teamwork,Europe,Cork / remote,careers@teamwork.com,company website,"hr@teamwork.com, jobs@teamwork.com",teamwork.com,https://teamwork.com/careers,
Thought Machine,Europe,London / remote,careers@thoughtmachine.net,company website,hr@thoughtmachine.net,thoughtmachine.net,https://thoughtmachine.net/careers,
Tide,Europe,London / remote,careers@tide.co,company website,"hello@tide.co, complaints@tide.co, hr@tide.co",tide.co,https://tide.co/careers,
Toggl,Europe,Tallinn / remote,careers@toggl.com,company website,hr@toggl.com,toggl.com,https://toggl.com/careers,
TomTom,Europe,Amsterdam / remote,careers@tomtom.com,company website,"productsafetyquestions@tomtom.com, hr@tomtom.com",tomtom.com,https://tomtom.com/careers,
Too Good To Go,Europe,Copenhagen / remote,careers@toogoodtogo.com,company website,hr@toogoodtogo.com,toogoodtogo.com,https://toogoodtogo.com/careers,
Typeform,Europe,Barcelona / remote,careers@typeform.com,company website,"email@typeform.com, hr@typeform.com",typeform.com,https://typeform.com/careers,
Vivaldi,Europe,Oslo / remote,careers@vivaldi.com,company website,"team_vivaldi@vivaldi.com, hr@vivaldi.com",vivaldi.com,https://vivaldi.com/careers,
Wefox,Europe,Berlin / remote,careers@wefox.com,company website,"feedback@wefox.com, hr@wefox.com",wefox.com,https://wefox.com/careers,
Wise,Europe,London / remote,careers@wise.com,company website,"ouvidoria@wise.com, u003eouvidoria@wise.com, hr@wise.com",wise.com,https://wise.com/careers,
Xeneta,Europe,Oslo / remote,careers@xeneta.com,company website,"info@xeneta.com, hr@xeneta.com, talent@xeneta.com",xeneta.com,https://xeneta.com/careers,
Yolo Group,Europe,Milan / remote,assistenza@yolo-insurance.com,company website,,yolo-insurance.com,https://yolo-insurance.com/careers,
