Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
Batelco,Bahrain,Manama,careers@batelco.com,guessed pattern (verify before sending),hr@batelco.com,batelco.com,https://batelco.com/careers,
Benefit,Bahrain,Manama,careers@benefit.bh,guessed pattern (verify before sending),hr@benefit.bh,benefit.bh,https://benefit.bh/careers,
Beyon / Batelco,Bahrain,Manama,careers@beyon.com,guessed pattern (verify before sending),hr@beyon.com,beyon.com,https://beyon.com/careers,
BMMI Group Digital,Bahrain,Manama,careers@bmmi.com,guessed pattern (verify before sending),hr@bmmi.com,bmmi.com,https://bmmi.com/careers,
C5 Accelerate,Bahrain,Manama,careers@c5accelerate.com,guessed pattern (verify before sending),hr@c5accelerate.com,c5accelerate.com,https://c5accelerate.com/careers,
CrediMax,Bahrain,Manama,careers@credimax.com.bh,guessed pattern (verify before sending),hr@credimax.com.bh,credimax.com.bh,https://credimax.com.bh/careers,
Fakhro Electronics,Bahrain,Manama,careers@fakhro.com,company website,"info@fakhro.com, hr@fakhro.com",fakhro.com,https://fakhro.com/careers,
GFH Financial,Bahrain,Manama,careers@gfh.com,guessed pattern (verify before sending),hr@gfh.com,gfh.com,https://gfh.com/careers,
Investcorp,Bahrain,Manama,careers@investcorp.com,company website,"corpcomms@investcorp.com, investorrelations@investcorp.com, reportcyberfraud@investcorp.com, info@investcorp.com, clientcomplaintsofficer@investcorp.com, hr@investcorp.com",investcorp.com,https://investcorp.com/careers,
Ithmaar Bank Digital,Bahrain,Manama,careers@ithmaarbank.com,guessed pattern (verify before sending),hr@ithmaarbank.com,ithmaarbank.com,https://ithmaarbank.com/careers,
Rain Bahrain,Bahrain,Manama,careers@rain.bh,guessed pattern (verify before sending),hr@rain.bh,rain.bh,https://rain.bh/careers,
stc Bahrain,Bahrain,Manama,careers@stc.com.bh,guessed pattern (verify before sending),hr@stc.com.bh,stc.com.bh,https://stc.com.bh/careers,
Tarabut,Bahrain,Manama / remote,careers@tarabut.com,company website,"info@tarabut.com, hr@tarabut.com",tarabut.com,https://tarabut.com/careers,
Tenmou,Bahrain,Manama,careers@tenmou.me,company website,"info@tenmou.me, hr@tenmou.me",tenmou.me,https://tenmou.me/careers,
Agility,Kuwait,Kuwait / remote,careers@agility.com,guessed pattern (verify before sending),hr@agility.com,agility.com,https://agility.com/careers,
Boubyan Digital,Kuwait,Kuwait City,info-boubyan@boubyan.com,company website,,boubyan.com,https://boubyan.com/careers,
Boutiqaat,Kuwait,Kuwait,careers@boutiqaat.com,guessed pattern (verify before sending),hr@boutiqaat.com,boutiqaat.com,https://boutiqaat.com/careers,
Gulf Bank,Kuwait,Kuwait,careers@e-gulfbank.com,guessed pattern (verify before sending),hr@e-gulfbank.com,e-gulfbank.com,https://e-gulfbank.com/careers,
Kuwait Finance House,Kuwait,Kuwait,careers@kfh.com,guessed pattern (verify before sending),hr@kfh.com,kfh.com,https://kfh.com/careers,
MyFatoorah,Kuwait,Kuwait / Bahrain,careers@myfatoorah.com,guessed pattern (verify before sending),hr@myfatoorah.com,myfatoorah.com,https://myfatoorah.com/careers,
NBK Digital,Kuwait,Kuwait,careers@nbk.com,company website,"hr@nbk.com, yourcareer@nbk.com.eg",nbk.com,https://nbk.com/careers,
Ooredoo Kuwait,Kuwait,Kuwait City,careers@ooredoo.com.kw,guessed pattern (verify before sending),hr@ooredoo.com.kw,ooredoo.com.kw,https://ooredoo.com.kw/careers,
stc Kuwait,Kuwait,Kuwait,careers@stc.com.kw,guessed pattern (verify before sending),hr@stc.com.kw,stc.com.kw,https://stc.com.kw/careers,
Tap Payments,Kuwait,Kuwait / remote,careers@tap.company,guessed pattern (verify before sending),hr@tap.company,tap.company,https://tap.company/careers,
Zain,Kuwait,Kuwait / remote,careers@zain.com,guessed pattern (verify before sending),hr@zain.com,zain.com,https://zain.com/careers,
Zain Cash,Kuwait,Kuwait / Iraq,careers@zaincash.iq,guessed pattern (verify before sending),hr@zaincash.iq,zaincash.iq,https://zaincash.iq/careers,
Zain Kuwait Digital,Kuwait,Kuwait City,careers@kw.zain.com,guessed pattern (verify before sending),hr@kw.zain.com,kw.zain.com,https://kw.zain.com/careers,
Awasr,Oman,Muscat,careers@awasr.om,guessed pattern (verify before sending),hr@awasr.om,awasr.om,https://awasr.om/careers,
Bank Muscat Digital,Oman,Muscat,careers@bankmuscat.com,company website,"care@bankmuscat.com, hr@bankmuscat.com",bankmuscat.com,https://bankmuscat.com/careers,
Oman Arab Bank Digital,Oman,Muscat,careers@oman-arabbank.com,company website,"hr@oman-arabbank.com, career@oman-arabbank.com",oman-arabbank.com,https://oman-arabbank.com/careers,
Omantel,Oman,Muscat,careers@omantel.om,company website,"self.service@omantel.om, u003ebusiness@omantel.om, hr@omantel.om",omantel.om,https://omantel.om/careers,
Ooredoo Oman,Oman,Muscat,careers@ooredoo.om,company website,"b2boutbound@ooredoo.om, hr@ooredoo.om",ooredoo.om,https://ooredoo.om/careers,
AIQ,UAE,Abu Dhabi,careers@aiq.com,company website,"hr@aiq.com, partnerships@aiq.com",aiq.com,https://aiq.com/careers,
Alaan,UAE,Dubai / remote,careers@alaan.com,company website,hr@alaan.com,alaan.com,https://alaan.com/careers,
Barakat,UAE,Dubai,careers@barakatfresh.ae,company website,"info@barakatfresh.ae, hr@barakatfresh.ae",barakatfresh.ae,https://barakatfresh.ae/careers,
Bayanat,UAE,Abu Dhabi,careers@bayanat.ai,guessed pattern (verify before sending),hr@bayanat.ai,bayanat.ai,https://bayanat.ai/careers,
Bayut,UAE,Dubai / remote,careers@bayut.com,guessed pattern (verify before sending),hr@bayut.com,bayut.com,https://bayut.com/careers,
Beehive,UAE,Dubai / remote,careers@beehive.ae,company website,"info@beehive.ae, sme@beehive.ae, investors@beehive.ae, hr@beehive.ae",beehive.ae,https://beehive.ae/careers,
BitOasis,UAE,Dubai / remote,careers@bitoasis.net,guessed pattern (verify before sending),hr@bitoasis.net,bitoasis.net,https://bitoasis.net/careers,
Botim,UAE,Dubai / remote,careers@botim.me,company website,"customerservice@botim.me, contact@botim.me, hr@botim.me",botim.me,https://botim.me/careers,
Cafu,UAE,Dubai,careers@cafu.com,guessed pattern (verify before sending),hr@cafu.com,cafu.com,https://cafu.com/careers,
Cars24 Gulf,UAE,Dubai / remote,careers@cars24.com,guessed pattern (verify before sending),hr@cars24.com,cars24.com,https://cars24.com/careers,
Cartlow,UAE,Dubai / remote,careers@cartlow.com,company website,"hello@cartlow.com, hr@cartlow.com",cartlow.com,https://cartlow.com/careers,
Checkout.com,UAE,Dubai / remote,careers@checkout.com,known + company website,"pr@checkout.com, yourpayments@checkout.com, talent.acquisition@checkout.com",checkout.com,https://checkout.com/careers,
Core42,UAE,Abu Dhabi / remote,careers@core42.ai,guessed pattern (verify before sending),hr@core42.ai,core42.ai,https://core42.ai/careers,
Digital14,UAE,Abu Dhabi,careers@digital14.com,guessed pattern (verify before sending),hr@digital14.com,digital14.com,https://digital14.com/careers,
Dubizzle,UAE,Dubai / remote,careers@dubizzle.com,guessed pattern (verify before sending),hr@dubizzle.com,dubizzle.com,https://dubizzle.com/careers,
El Grocer,UAE,Dubai,careers@elgrocer.com,guessed pattern (verify before sending),hr@elgrocer.com,elgrocer.com,https://elgrocer.com/careers,
Emitac,UAE,Dubai,careers@emitac.ae,guessed pattern (verify before sending),hr@emitac.ae,emitac.ae,https://emitac.ae/careers,
G42,UAE,Abu Dhabi / remote,careers@g42.ai,company website,"contact@g42.ai, hr@g42.ai",g42.ai,https://g42.ai/careers,
Intertec Systems,UAE,Dubai,careers@intertec.co,guessed pattern (verify before sending),hr@intertec.co,intertec.co,https://intertec.co/careers,
Jawaker,UAE,Dubai / remote,careers@jawaker.com,guessed pattern (verify before sending),hr@jawaker.com,jawaker.com,https://jawaker.com/careers,
Kibsons,UAE,Dubai,careers@kibsons.com,guessed pattern (verify before sending),hr@kibsons.com,kibsons.com,https://kibsons.com/careers,
Kitopi,UAE,Dubai / remote,careers@kitopi.com,company website,"hr@kitopi.com, info@kitopi.com, nouha@kitopi.com",kitopi.com,https://kitopi.com/careers,
Lean Technologies,UAE,Dubai / remote,careers@leantech.me,guessed pattern (verify before sending),hr@leantech.me,leantech.me,https://leantech.me/careers,
Magnati,UAE,Abu Dhabi,careers@magnati.com,guessed pattern (verify before sending),hr@magnati.com,magnati.com,https://magnati.com/careers,
Magnitt,UAE,Dubai / remote,careers@magnitt.com,company website,"hr@magnitt.com, info@magnitt.com",magnitt.com,https://magnitt.com/careers,
MBC Group / Shahid,UAE,Dubai,careers@mbc.net,company website,"care@mbc.net, contact@mbc.net, investor.relations@mbc.net, hr@mbc.net",mbc.net,https://mbc.net/careers,
Mumzworld,UAE,Dubai,careers@mumzworld.com,guessed pattern (verify before sending),hr@mumzworld.com,mumzworld.com,https://mumzworld.com/careers,
Namshi,UAE,Dubai,careers@namshi.com,guessed pattern (verify before sending),hr@namshi.com,namshi.com,https://namshi.com/careers,
Network International,UAE,Dubai,careers@network.global,guessed pattern (verify before sending),hr@network.global,network.global,https://network.global/careers,
Noon,UAE,Dubai / Riyadh / remote,careers@noon.com,guessed pattern (verify before sending),hr@noon.com,noon.com,https://noon.com/careers,
Now Money,UAE,Dubai / remote,careers@nowmoney.me,company website,"pr@nowmoney.me, hr@nowmoney.me, recruitment@nowmoney.me",nowmoney.me,https://nowmoney.me/careers,
NymCard,UAE,Abu Dhabi / remote,careers@nymcard.com,guessed pattern (verify before sending),hr@nymcard.com,nymcard.com,https://nymcard.com/careers,
PayBy,UAE,Dubai / remote,careers@payby.com,guessed pattern (verify before sending),hr@payby.com,payby.com,https://payby.com/careers,
Postpay,UAE,Dubai / remote,careers@postpay.io,guessed pattern (verify before sending),hr@postpay.io,postpay.io,https://postpay.io/careers,
Presight,UAE,Abu Dhabi / remote,careers@presight.ai,guessed pattern (verify before sending),hr@presight.ai,presight.ai,https://presight.ai/careers,
Property Finder,UAE,Dubai / remote,careers@propertyfinder.ae,guessed pattern (verify before sending),hr@propertyfinder.ae,propertyfinder.ae,https://propertyfinder.ae/careers,
Pure Harvest,UAE,Abu Dhabi,careers@pureharvest.ae,guessed pattern (verify before sending),hr@pureharvest.ae,pureharvest.ae,https://pureharvest.ae/careers,
Pyypl,UAE,Dubai / remote,careers@pyypl.com,guessed pattern (verify before sending),hr@pyypl.com,pyypl.com,https://pyypl.com/careers,
Qashio,UAE,Dubai / remote,careers@qashio.com,company website,hr@qashio.com,qashio.com,https://qashio.com/careers,
RemotePass,UAE,Dubai / remote,careers@remotepass.com,guessed pattern (verify before sending),hr@remotepass.com,remotepass.com,https://remotepass.com/careers,
Shipa,UAE,Dubai,careers@shipa.com,guessed pattern (verify before sending),hr@shipa.com,shipa.com,https://shipa.com/careers,
Silal,UAE,Abu Dhabi / remote,careers@silal.ae,guessed pattern (verify before sending),hr@silal.ae,silal.ae,https://silal.ae/careers,
SmartCrowd,UAE,Dubai,careers@smartcrowd.ae,guessed pattern (verify before sending),hr@smartcrowd.ae,smartcrowd.ae,https://smartcrowd.ae/careers,
Spotii,UAE,Dubai / remote,careers@spotii.com,guessed pattern (verify before sending),hr@spotii.com,spotii.com,https://spotii.com/careers,
Starzplay,UAE,Dubai / remote,careers@starzplay.com,guessed pattern (verify before sending),hr@starzplay.com,starzplay.com,https://starzplay.com/careers,
Tabby,UAE,Dubai / remote,careers@tabby.ai,guessed pattern (verify before sending),hr@tabby.ai,tabby.ai,https://tabby.ai/careers,
Tajawal,UAE,Dubai / remote,careers@tajawal.com,guessed pattern (verify before sending),hr@tajawal.com,tajawal.com,https://tajawal.com/careers,
Telr,UAE,Dubai / remote,careers@telr.com,company website,"partner@telr.com, hr@telr.com",telr.com,https://telr.com/careers,
Trukker,UAE,Dubai / remote,careers@trukker.com,company website,"hr@trukker.com, career@trukker.com",trukker.com,https://trukker.com/careers,
Wahed,UAE,Dubai / remote,careers@wahed.com,guessed pattern (verify before sending),hr@wahed.com,wahed.com,https://wahed.com/careers,
YAP,UAE,Dubai / remote,careers@yap.com,guessed pattern (verify before sending),hr@yap.com,yap.com,https://yap.com/careers,
Yellow Door Energy,UAE,Dubai,careers@yellowdoorenergy.com,guessed pattern (verify before sending),hr@yellowdoorenergy.com,yellowdoorenergy.com,https://yellowdoorenergy.com/careers,
Almosafer,KSA,Riyadh / remote,careers@almosafer.com,company website,"hr@almosafer.com, u003ecareers@almosafer.com",almosafer.com,https://almosafer.com/careers,
Elm,KSA,Riyadh / remote,careers@elm.sa,guessed pattern (verify before sending),hr@elm.sa,elm.sa,https://elm.sa/careers,
Flynas Digital,KSA,Riyadh,careers@flynas.com,guessed pattern (verify before sending),hr@flynas.com,flynas.com,https://flynas.com/careers,
Foodics,KSA,Riyadh / remote,careers@foodics.com,company website,"info@foodics.com, hr@foodics.com",foodics.com,https://foodics.com/careers,
Geidea,KSA,Riyadh / remote,careers@geidea.net,guessed pattern (verify before sending),hr@geidea.net,geidea.net,https://geidea.net/careers,
Hala,KSA,Riyadh / remote,careers@halacards.com,company website,"hr@halacards.com, salam@halacards.com",halacards.com,https://halacards.com/careers,
HungerStation,KSA,Riyadh / remote,careers@hungerstation.com,guessed pattern (verify before sending),hr@hungerstation.com,hungerstation.com,https://hungerstation.com/careers,
HyperPay,KSA,Riyadh / remote,careers@hyperpay.com,guessed pattern (verify before sending),hr@hyperpay.com,hyperpay.com,https://hyperpay.com/careers,
Jahez,KSA,Riyadh / remote,careers@jahez.net,guessed pattern (verify before sending),hr@jahez.net,jahez.net,https://jahez.net/careers,
Lucidya,KSA,Riyadh / remote,careers@lucidya.com,company website,"adedic@lucidya.com, ai-report@lucidya.com, hr@lucidya.com",lucidya.com,https://lucidya.com/careers,
Mobily,KSA,Riyadh,careers@mobily.com.sa,guessed pattern (verify before sending),hr@mobily.com.sa,mobily.com.sa,https://mobily.com.sa/careers,
Mostaql,KSA,Riyadh / remote,careers@mostaql.com,guessed pattern (verify before sending),hr@mostaql.com,mostaql.com,https://mostaql.com/careers,
Moyasar,KSA,Riyadh / remote,careers@moyasar.com,guessed pattern (verify before sending),hr@moyasar.com,moyasar.com,https://moyasar.com/careers,
Mrsool,KSA,Riyadh / remote,careers@mrsool.co,guessed pattern (verify before sending),hr@mrsool.co,mrsool.co,https://mrsool.co/careers,
Nana,KSA,Riyadh / remote,careers@nana.sa,company website,hr@nana.sa,nana.sa,https://nana.sa/careers,
Nearpay,KSA,Riyadh / remote,careers@nearpay.io,guessed pattern (verify before sending),hr@nearpay.io,nearpay.io,https://nearpay.io/careers,
NEOM,KSA,NEOM / remote,careers@neom.com,guessed pattern (verify before sending),hr@neom.com,neom.com,https://neom.com/careers,
Ninja KSA,KSA,Riyadh,careers@ninja.sa,guessed pattern (verify before sending),hr@ninja.sa,ninja.sa,https://ninja.sa/careers,
PayTabs,KSA,Riyadh / remote,careers@paytabs.com,guessed pattern (verify before sending),hr@paytabs.com,paytabs.com,https://paytabs.com/careers,
Qiddiya,KSA,Riyadh,careers@qiddiya.com,guessed pattern (verify before sending),hr@qiddiya.com,qiddiya.com,https://qiddiya.com/careers,
QnE,KSA,Riyadh,careers@qne.com.sa,company website,"info@qne.com.sa, hr@qne.com.sa",qne.com.sa,https://qne.com.sa/careers,
Rasan,KSA,Riyadh / remote,careers@rasan.co,guessed pattern (verify before sending),hr@rasan.co,rasan.co,https://rasan.co/careers,
Red Sea Global,KSA,Jeddah / remote,careers@redseaglobal.com,guessed pattern (verify before sending),hr@redseaglobal.com,redseaglobal.com,https://redseaglobal.com/careers,
Sary,KSA,Riyadh / remote,careers@sary.com,guessed pattern (verify before sending),hr@sary.com,sary.com,https://sary.com/careers,
Saudi Aramco Digital,KSA,Dhahran,careers@aramco.com,guessed pattern (verify before sending),hr@aramco.com,aramco.com,https://aramco.com/careers,
Saudi Payments / mada,KSA,Riyadh,careers@saudipayments.com,guessed pattern (verify before sending),hr@saudipayments.com,saudipayments.com,https://saudipayments.com/careers,
SDAIA,KSA,Riyadh,careers@sdaia.gov.sa,guessed pattern (verify before sending),hr@sdaia.gov.sa,sdaia.gov.sa,https://sdaia.gov.sa/careers,
Seera,KSA,Riyadh,careers@seera.sa,company website,"investors@seera.sa, hr@seera.sa",seera.sa,https://seera.sa/careers,
Solutions by stc,KSA,Riyadh,careers@solutions.com.sa,guessed pattern (verify before sending),hr@solutions.com.sa,solutions.com.sa,https://solutions.com.sa/careers,
Soum,KSA,Riyadh / remote,careers@soum.sa,guessed pattern (verify before sending),hr@soum.sa,soum.sa,https://soum.sa/careers,
STC Bank,KSA,Riyadh / remote,careers@stcbank.com.sa,guessed pattern (verify before sending),hr@stcbank.com.sa,stcbank.com.sa,https://stcbank.com.sa/careers,
stc pay,KSA,Riyadh,careers@stcpay.com.sa,guessed pattern (verify before sending),hr@stcpay.com.sa,stcpay.com.sa,https://stcpay.com.sa/careers,
Syarah,KSA,Riyadh / remote,careers@syarah.com,guessed pattern (verify before sending),hr@syarah.com,syarah.com,https://syarah.com/careers,
Tamkeen Technologies,KSA,Riyadh,careers@tamkeentech.sa,company website,"info@tamkeentech.sa, hr@tamkeentech.sa",tamkeentech.sa,https://tamkeentech.sa/careers,
The Chefz,KSA,Riyadh,careers@thechefz.co,guessed pattern (verify before sending),hr@thechefz.co,thechefz.co,https://thechefz.co/careers,
ToYou,KSA,Riyadh,careers@toyou.io,guessed pattern (verify before sending),hr@toyou.io,toyou.io,https://toyou.io/careers,
Unifonic,KSA,Riyadh / remote,careers@unifonic.com,guessed pattern (verify before sending),hr@unifonic.com,unifonic.com,https://unifonic.com/careers,
Zain KSA,KSA,Riyadh,careers@sa.zain.com,guessed pattern (verify before sending),hr@sa.zain.com,sa.zain.com,https://sa.zain.com/careers,
Bosta,Egypt,Cairo / remote,careers@bosta.co,guessed pattern (verify before sending),hr@bosta.co,bosta.co,https://bosta.co/careers,
Breadfast,Egypt,Cairo / remote,careers@breadfast.com,company website,"inquiries@breadfast.com, hr@breadfast.com",breadfast.com,https://breadfast.com/careers,
Cequens,Egypt,Cairo / remote,careers@cequens.com,company website,"hello@cequens.com, hr@cequens.com",cequens.com,https://cequens.com/careers,
DSquares,Egypt,Cairo / remote,careers@dsquares.com,guessed pattern (verify before sending),hr@dsquares.com,dsquares.com,https://dsquares.com/careers,
Elmenus,Egypt,Cairo,careers@elmenus.com,company website,"guest@elmenus.com, hr@elmenus.com",elmenus.com,https://elmenus.com/careers,
Flat6Labs,Egypt,Cairo / remote,careers@flat6labs.com,company website,hr@flat6labs.com,flat6labs.com,https://flat6labs.com/careers,
Giza Systems,Egypt,Cairo,careers@gizasystems.com,guessed pattern (verify before sending),hr@gizasystems.com,gizasystems.com,https://gizasystems.com/careers,
Halan / MNT-Halan,Egypt,Cairo,careers@halan.com,company website,"info@halan.com, hr@halan.com",halan.com,https://halan.com/careers,
Incorta,Egypt,Cairo / remote,careers@incorta.com,company website,"info@incorta.com, hr@incorta.com",incorta.com,https://incorta.com/careers,
Instant,Egypt,Cairo,careers@instant.com,guessed pattern (verify before sending),hr@instant.com,instant.com,https://instant.com/careers,
ITWorx,Egypt,Cairo / remote,careers@itworx.com,guessed pattern (verify before sending),hr@itworx.com,itworx.com,https://itworx.com/careers,
Khazna,Egypt,Cairo / remote,careers@khazna.app,guessed pattern (verify before sending),hr@khazna.app,khazna.app,https://khazna.app/careers,
Link Development,Egypt,Cairo / remote,careers@linkdev.com,guessed pattern (verify before sending),hr@linkdev.com,linkdev.com,https://linkdev.com/careers,
Money Fellows,Egypt,Cairo / remote,careers@moneyfellows.com,guessed pattern (verify before sending),hr@moneyfellows.com,moneyfellows.com,https://moneyfellows.com/careers,
Paymob Accept,Egypt,Cairo / remote,careers@accept.paymob.com,guessed pattern (verify before sending),hr@accept.paymob.com,accept.paymob.com,https://accept.paymob.com/careers,
Rabbit Mart,Egypt,Cairo,careers@rabbitmart.com,guessed pattern (verify before sending),hr@rabbitmart.com,rabbitmart.com,https://rabbitmart.com/careers,
Raya,Egypt,Cairo,careers@rayacorp.com,company website,"info@rayacorp.com, fmcg@rayacorp.com, rayait_info@rayacorp.com, hr@rayacorp.com",rayacorp.com,https://rayacorp.com/careers,
Synapse Analytics,Egypt,Cairo / remote,careers@synapse-analytics.io,guessed pattern (verify before sending),hr@synapse-analytics.io,synapse-analytics.io,https://synapse-analytics.io/careers,
Telda,Egypt,Cairo / remote,careers@telda.app,guessed pattern (verify before sending),hr@telda.app,telda.app,https://telda.app/careers,
Trella,Egypt,Cairo / remote,careers@trella.app,guessed pattern (verify before sending),hr@trella.app,trella.app,https://trella.app/careers,
Valeo Egypt,Egypt,Cairo / remote,careers@valeo.com,guessed pattern (verify before sending),hr@valeo.com,valeo.com,https://valeo.com/careers,
Valify,Egypt,Cairo / remote,careers@valify.me,company website,"info@valify.me, hr@valify.me",valify.me,https://valify.me/careers,
Vodafone Egypt,Egypt,Cairo,careers@vodafone.com.eg,guessed pattern (verify before sending),hr@vodafone.com.eg,vodafone.com.eg,https://vodafone.com.eg/careers,
Abwaab,Jordan,Amman / remote,careers@abwaab.com,guessed pattern (verify before sending),hr@abwaab.com,abwaab.com,https://abwaab.com/careers,
ArabiaWeather,Jordan,Amman,careers@arabiaweather.com,company website,"helpdesk@arabiaweather.com, advertising@arabiaweather.com, stations@arabiaweather.com, hr@arabiaweather.com",arabiaweather.com,https://arabiaweather.com/careers,
Estarta,Jordan,Amman,careers@estarta.com,company website,"info@estarta.com, hr@estarta.com",estarta.com,https://estarta.com/careers,
MadfooatCom,Jordan,Amman / remote,careers@madfooat.com,guessed pattern (verify before sending),hr@madfooat.com,madfooat.com,https://madfooat.com/careers,
Mawdoo3,Jordan,Amman / remote,careers@mawdoo3.com,guessed pattern (verify before sending),hr@mawdoo3.com,mawdoo3.com,https://mawdoo3.com/careers,
OpenSooq,Jordan,Amman / remote,careers@opensooq.com,guessed pattern (verify before sending),hr@opensooq.com,opensooq.com,https://opensooq.com/careers,
ProgressSoft,Jordan,Amman / remote,careers@progressoft.com,company website,"hr@progressoft.com, info@progressoft.com",progressoft.com,https://progressoft.com/careers,
ZenHR,Jordan,Amman / remote,careers@zenhr.com,guessed pattern (verify before sending),hr@zenhr.com,zenhr.com,https://zenhr.com/careers,
Murex,Lebanon,Beirut / remote,careers@murex.com,company website,"website@murex.com, hr@murex.com",murex.com,https://murex.com/careers,
Anghami,MENA,Beirut / Dubai,careers@anghami.com,guessed pattern (verify before sending),hr@anghami.com,anghami.com,https://anghami.com/careers,
AppsFlyer,MENA,Tel Aviv / remote,careers@appsflyer.com,company website,"agency@appsflyer.com, globalops@appsflyer.com, partners@appsflyer.com, liron.or@appsflyer.com, hr@appsflyer.com",appsflyer.com,https://appsflyer.com/careers,
Bayzat,MENA,Dubai,careers@bayzat.com,company website,"recruitment@bayzat.com, hr@bayzat.com",bayzat.com,https://bayzat.com/careers,
Delivery Hero,MENA,Dubai / Berlin,careers@deliveryhero.com,known company contact,,deliveryhero.com,https://deliveryhero.com/careers,
e& / Etisalat,MENA,Abu Dhabi,careers@eand.com,guessed pattern (verify before sending),hr@eand.com,eand.com,https://eand.com/careers,
Emirates Group IT,MENA,Dubai,careers@emirates.com,company website,"pr@emirates.com, buerrek2@emirates.com, saorrek@emirates.com, hr@emirates.com",emirates.com,https://emirates.com/careers,
Fawry,MENA,Cairo,careers@fawry.com,guessed pattern (verify before sending),hr@fawry.com,fawry.com,https://fawry.com/careers,
Fiverr,MENA,Tel Aviv / remote,careers@fiverr.com,guessed pattern (verify before sending),hr@fiverr.com,fiverr.com,https://fiverr.com/careers,
Folio3 UAE/PK,MENA,Dubai / Karachi,careers@folio3.ae,guessed pattern (verify before sending),hr@folio3.ae,folio3.ae,https://folio3.ae/careers,
Fresha,MENA,Dubai / remote,careers@fresha.com,company website,"hr@fresha.com, jobs@fresha.com",fresha.com,https://fresha.com/careers,
Huspy,MENA,Dubai,careers@huspy.com,company website,"hr@huspy.com, hi@huspy.com",huspy.com,https://huspy.com/careers,
Instabug,MENA,Cairo / remote,careers@instabug.com,guessed pattern (verify before sending),hr@instabug.com,instabug.com,https://instabug.com/careers,
Jahez,MENA,Riyadh,careers@jahezgroup.com,guessed pattern (verify before sending),hr@jahezgroup.com,jahezgroup.com,https://jahezgroup.com/careers,
