Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
Catch,Australia,Melbourne,careers@catch.com.au,guessed pattern (verify before sending),,catch.com.au,https://catch.com.au/careers,,mxa-006cc501.gslb.pphosted.com rcpt 250 b'2.1.5 Recipient ok' | fake:mxa-006cc501.gslb.pphosted.com rcpt 550 b'5.1.1 User Unknown'
Airship,Remote,Worldwide,hr@airship.com,guessed pattern (verify before sending),,airship.com,https://airship.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f30f212si20823158f8f.276 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f33c"
Anomalo,Remote,Worldwide,careers@anomalo.com,guessed pattern (verify before sending),,anomalo.com,https://anomalo.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f236aa4si15410302f8f.5 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f34c29"
BlueConic,Remote,Worldwide,hr@blueconic.com,guessed pattern (verify before sending),,blueconic.com,https://blueconic.com/careers,,"smtp.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2fec37si14250720f8f.175 - gsmtp' | fake:smtp.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f2fed2csi1"
Branch,Remote,Worldwide,hr@branch.io,guessed pattern (verify before sending),,branch.io,https://branch.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f3002bbsi15505782f8f.191 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-4999617d"
Brave,Remote,Worldwide,hr@brave.com,guessed pattern (verify before sending),,brave.com,https://brave.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f33e1easi14940973f8f.432 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f30e"
Com2uS,Remote,Worldwide,hr@com2us.com,guessed pattern (verify before sending),,com2us.com,https://com2us.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f24d505si15041673f8f.105 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f31d"
DocuSign,Remote,Worldwide,hr@docusign.com,guessed pattern (verify before sending),,docusign.com,https://docusign.com/careers,,mxa-00567a01.gslb.pphosted.com rcpt 250 b'2.1.5 Recipient ok' | fake:mxa-00567a01.gslb.pphosted.com rcpt 550 b'5.1.1 Email Address not found - Contact us at https://www.docusign.com/company/contact-us'
Eventbrite,Remote,Worldwide,careers@eventbrite.com,guessed pattern (verify before sending),,eventbrite.com,https://eventbrite.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f352f57si14276064f8f.499 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f236"
Great,Remote,Worldwide,careers@greatexpectations.io,guessed pattern (verify before sending),,greatexpectations.io,https://greatexpectations.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f318718si15419871f8f.296 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f34c"
Kabam,Remote,Worldwide,careers@kabam.com,guessed pattern (verify before sending),,kabam.com,https://kabam.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f33d839si14811879f8f.422 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f2f9"
Looker,Remote,Worldwide,careers@looker.com,guessed pattern (verify before sending),,looker.com,https://looker.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2f9163si16227616f8f.219 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f2f9"
Monte,Remote,Worldwide,recruiting@montecarlodata.com,guessed pattern (verify before sending),,montecarlodata.com,https://montecarlodata.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f339291si14947301f8f.400 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f30b"
Niantic,Remote,Worldwide,jobs@nianticlabs.com,guessed pattern (verify before sending),,nianticlabs.com,https://nianticlabs.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2f91dfsi16251770f8f.223 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f33c"
Tableau,Remote,Worldwide,jobs@tableau.com,guessed pattern (verify before sending),,tableau.com,https://tableau.com/careers,,"smtp.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2366f6si15865038f8f.56 - gsmtp' | fake:smtp.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f30fa4bsi14"
TickTick,Remote,Worldwide,hr@ticktick.com,guessed pattern (verify before sending),,ticktick.com,https://ticktick.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2fed20si15692557f8f.152 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f236"
Treasure,Remote,Worldwide,careers@treasuredata.com,guessed pattern (verify before sending),,treasuredata.com,https://treasuredata.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f23683bsi14225524f8f.68 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f32a2"
