Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
Macquarie,Australia,Sydney,careers@macquarie.com,guessed pattern (verify before sending),,macquarie.com,https://macquarie.com/careers,,mxa-005e7502.gslb.pphosted.com rcpt 250 b'2.1.5 Recipient ok' | fake:mail-from 550 b'5.7.1 Command rejected'
Checkr,Remote,Worldwide,hr@checkr.com,guessed pattern (verify before sending),,checkr.com,https://checkr.com/careers,,mxa-00450a01.gslb.pphosted.com rcpt 250 b'2.1.5 Recipient ok' | fake:mxa-00450a01.gslb.pphosted.com rcpt 550 b'5.1.1 User Unknown'
DistroKid,Remote,Worldwide,careers@distrokid.com,guessed pattern (verify before sending),,distrokid.com,https://distrokid.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f24dc2dsi15631137f8f.121 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-499960b7"
Fountain,Remote,Worldwide,hr@fountain.com,guessed pattern (verify before sending),,fountain.com,https://fountain.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2f930csi16448419f8f.234 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f333"
HackerRank,Remote,Worldwide,careers@hackerrank.com,guessed pattern (verify before sending),,hackerrank.com,https://hackerrank.com/careers,,"smtp.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f23669bsi15155059f8f.28 - gsmtp' | fake:smtp.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-499961654dasi25"
HireVue,Remote,Worldwide,hr@hirevue.com,guessed pattern (verify before sending),,hirevue.com,https://hirevue.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f321b74si15355616f8f.348 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f236"
Jitterbit,Remote,Worldwide,careers@jitterbit.com,guessed pattern (verify before sending),,jitterbit.com,https://jitterbit.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2fec64si16049330f8f.139 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f300"
Mixmax,Remote,Worldwide,careers@mixmax.com,guessed pattern (verify before sending),,mixmax.com,https://mixmax.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482a04916a6si2045086f8f.239 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f2368"
Modern,Remote,Worldwide,hr@modernhire.com,guessed pattern (verify before sending),,modernhire.com,https://modernhire.com/careers,,"smtp.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f235fd0si14901381f8f.78 - gsmtp' | fake:smtp.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-499960b2050si34"
Musicbed,Remote,Worldwide,jobs@musicbed.com,guessed pattern (verify before sending),,musicbed.com,https://musicbed.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f30bf31si15400496f8f.238 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f236"
Skuad,Remote,Worldwide,people@skuad.io,guessed pattern (verify before sending),,skuad.io,https://skuad.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2369d7si16606304f8f.93 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f2360"
SnapLogic,Remote,Worldwide,jobs@snaplogic.com,guessed pattern (verify before sending),,snaplogic.com,https://snaplogic.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f34cb35si16604669f8f.490 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f24d"
Spark,Remote,Worldwide,careers@sparkhire.com,guessed pattern (verify before sending),,sparkhire.com,https://sparkhire.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK 5b1f17b1804b1-49996146df8si26489865e9.16 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f30eff"
United,Remote,Worldwide,hr@unitedmasters.com,guessed pattern (verify before sending),,unitedmasters.com,https://unitedmasters.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK 5b1f17b1804b1-499960b2072si33475435e9.3 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f333045"
VidCruiter,Remote,Worldwide,careers@vidcruiter.com,guessed pattern (verify before sending),,vidcruiter.com,https://vidcruiter.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f31855csi15910424f8f.299 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f321"
Yesware,Remote,Worldwide,careers@yesware.com,guessed pattern (verify before sending),,yesware.com,https://yesware.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f236dfesi15118263f8f.94 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f235e"
Zeplin,Remote,Worldwide,careers@zeplin.io,guessed pattern (verify before sending),,zeplin.io,https://zeplin.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2fe95asi16033011f8f.142 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f236"
