Match Score,Title,Company,Role Fit,Work Mode,Location,Location Fit,Pakistan Friendly,Matched Skills,Seniority,Experience Fit,Salary,Job Type,Posted,Source,Apply URL,HR / Recruiter Email,Email Source,Other Emails,Company Domain,Summary,Notes,Applied?,Applied On,Status,My Notes
37,Software Engineer - Python - Container Images,Canonical Ltd.,"Software Engineer, Python / Backend",remote,"APAC,  EMEA,  LATAM,  Canada,  USA",Timezone / APAC remote,Maybe,Python,junior,Yes,,Full-Time,2026-08-09,Jobicy,https://jobicy.com/jobs/150364-software-engineer-python-container-images,,,,canonical.com,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and…",Remote with APAC/timezone overlap — worth applying.,,,,
34,AI Engineering Lead,Turing,AI Engineer,remote,"Bengaluru, Karnataka, India; Gurugram, Haryana, India; Hyderabad, Telangana, India",Pakistan remote,Yes,AI Engineering,unspecified,Maybe,,,2026-07-23,Greenhouse/Turing,https://job-boards.greenhouse.io/turing/jobs/5502989004,,,,turing.com,"AI Engineering Lead Bengaluru, Karnataka, India; Gurugram, Haryana, India; Hyderabad, Telangana, India Turing",,,,,
34,AI Engineer - Agentic Frameworks & LLMs,VentureDive,AI Engineer,remote,Pakistan,Pakistan remote,Yes,AI Engineering,unspecified,Maybe,,,,JazzHR/VentureDive,https://venturedive.applytojob.com/apply/Kvd4hJout1/AI-Engineer-Agentic-Frameworks-LLMs,careers@venturedive.com,known company contact,hr@venturedive.com,venturedive.com,AI Engineer - Agentic Frameworks & LLMs VentureDive Pakistan,,,,,
33,Software Engineering Director,Canonical Ltd.,"Software Engineer, Frontend Engineer, Python / Backend",remote,Anywhere,Worldwide remote,Yes,"React, TypeScript, JavaScript, Python",junior,Yes,,Full-Time,2026-07-21,Jobicy,https://jobicy.com/jobs/149571-software-engineering-director,,,,canonical.com,"This is the general track for Engineering Director at Canonical, apply here if you are confident to run a project which spans teams and time zones, hiring and managing engineering managers and staff engineers. Canonical’s largest software products are built by multiple teams…",,,,,
32,Python Engineer,Canonical Ltd.,"Frontend Engineer, Python / Backend",remote,Anywhere,Worldwide remote,Yes,"Python, Frontend",unspecified,Maybe,,Full-Time,2026-07-21,Jobicy,https://jobicy.com/jobs/149543-python-engineer,,,,canonical.com,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and…",,,,,
32,Technical Solutions Engineer,Stripe,"AI Engineer, Frontend Engineer, Python / Backend, Full Stack",remote,Anywhere in the World,Worldwide remote,Yes,"React, Python, Node.js, AI Engineering, RAG, Full Stack",unspecified,Maybe,,Front-End Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/stripe-technical-solutions-engineer,,,,stripe.com,"Headquarters: Seattle, WA, Remote-US Who we are About Stripe Stripe is a financial infrastructure platform for businesses. Millions of companies - from the world’s largest enterprises to the most ambitious startups - use Stripe to accept payments, grow their revenue, and…",,,,,
30,Product Engineer,SuperPlane,"Product Engineer, Frontend Engineer, Python / Backend, Full Stack",remote,Anywhere in the World,Worldwide remote,Yes,"React, TypeScript, Full Stack, Backend, Frontend",unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/superplane-product-engineer-1,,,,,"Headquarters: USA URL: https://superplane.com We are hiring a product engineer to join SuperPlane and own meaningful projects end to end. This is a remote role. We currently work across GMT+2 to GMT-3 and welcome candidates in that range. At SuperPlane, we don't split…",,,,,
29,Full Stack Product Engineer Apply 100% remote Full-time Part-time Karachi (preferred) | Remote (considered) Apply,SadaPay,"Product Engineer, Full Stack",remote,Pakistan,Karachi remote,Yes,Full Stack,unspecified,Maybe,,,,SadaPay,https://sadapay.pk/jobs-listing/full-stack-product-engineer,careers@sadapay.pk,known company contact,hello@sadapay.pk,sadapay.pk,Full Stack Product Engineer Apply 100% remote Full-time Part-time Karachi (preferred) | Remote (considered) Apply SadaPay Pakistan,,,,,
28,Full-Stack Product Engineer - Agentic First,Wonderdog,"Product Engineer, Frontend Engineer, Full Stack",remote,Anywhere in the World,Worldwide remote,Yes,"TypeScript, Full Stack",unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/wonderdog-full-stack-product-engineer-agentic-first,,,,,"Headquarters: Los Angeles URL: https://wonderdoghealth.com/ Wonder Dog is a preventative health platform for dogs. We send licensed vet techs to your home for a blood draw, run a 40+ biomarker panel through a national lab, and turn the results into something owners can actually…",,,,,
26,Software Engineer II - Backend | NextGen Engineering,Careem,"Software Engineer, Frontend Engineer, Python / Backend",remote,"Lahore, Pakistan",Pakistan remote,Yes,Backend,unspecified,Maybe,,,2026-08-10,Greenhouse/Careem,https://boards.greenhouse.io/careem/jobs/7004825002?gh_jid=7004825002,careers@careem.com,known company contact,,careem.com,"Software Engineer II - Backend | NextGen Engineering Lahore, Pakistan Careem",,,,,
26,Front-End WordPress Developer,Yoko Co,Frontend Engineer,remote,Anywhere in the World,Worldwide remote,Yes,"React, JavaScript, Frontend",unspecified,Maybe,,Front-End Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/yoko-co-front-end-wordpress-developer,,,,,"Headquarters: McLean, VA URL: https://www.yokoco.com/ We’re seeking a Front-End Developer who wants to make the world a better place through clean code, thoughtful craftsmanship, and a genuine love of building great websites. This isn’t just about turning designs into code,…",,,,,
23,Security Software Engineer,Canonical Ltd.,"Software Engineer, Frontend Engineer, Python / Backend",remote,Anywhere,Worldwide remote,Yes,"TypeScript, JavaScript, Python",unspecified,Maybe,,Full-Time,2026-07-21,Jobicy,https://jobicy.com/jobs/149550-security-software-engineer,,,,canonical.com,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and IoT.…",,,,,
23,Software Engineer - App Stores,Canonical Ltd.,"Software Engineer, Frontend Engineer, Python / Backend",remote,Anywhere,Worldwide remote,Yes,"Python, Backend, Frontend",unspecified,Maybe,,Full-Time,2026-07-21,Jobicy,https://jobicy.com/jobs/149552-software-engineer-app-stores,,,,canonical.com,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and…",,,,,
23,Software engineer,Sticker Mule,"Software Engineer, Frontend Engineer, Full Stack",remote,Anywhere in the World,Worldwide remote,Yes,"React, TypeScript, Full Stack",unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/sticker-mule-software-engineer-3,,,,stickermule.com,"Headquarters: New York, NY URL: https://www.stickermule.com Sticker Mule is building the Internet's most lucrative commerce platform by combining software, manufacturing, and AI into one fully integrated stack. No print company, or pure software company for that matter, can…",,,,,
22,Ubuntu Security Engineer,Canonical Ltd.,"Frontend Engineer, Python / Backend",remote,Anywhere,Worldwide remote,Yes,"TypeScript, JavaScript, Python",junior,Yes,,Full-Time,2026-07-21,Jobicy,https://jobicy.com/jobs/149565-ubuntu-security-engineer,,,,canonical.com,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and…",,,,,
19,"Go (Golang) Software Engineer, Developer Tooling and Containers",Canonical Ltd.,"Software Engineer, Python / Backend",remote,APAC,Timezone / APAC remote,Maybe,Python,junior,Yes,,Full-Time,2026-08-09,Jobicy,https://jobicy.com/jobs/150365-go-golang-software-engineer-developer-tooling-and-containers,,,,canonical.com,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and…",Remote with APAC/timezone overlap — worth applying.,,,,
19,Golang Engineer,Canonical Ltd.,"Frontend Engineer, Python / Backend",remote,Anywhere,Worldwide remote,Yes,"React, Python, Frontend",unspecified,Maybe,,Full-Time,2026-07-21,Jobicy,https://jobicy.com/jobs/149538-golang-engineer-2,,,,canonical.com,"Canonical is a leading provider of open-source software and operating systems for global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT.…",,,,,
19,Rust Engineering Lead - Linux and Open Source,Canonical Ltd.,"Frontend Engineer, Python / Backend",remote,Anywhere,Worldwide remote,Yes,"React, Python, Frontend",unspecified,Maybe,,Full-Time,2026-07-21,Jobicy,https://jobicy.com/jobs/149566-rust-engineering-lead-linux-and-open-source,,,,canonical.com,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and…",,,,,
19,Tech Lead - Manufacturing Data & AI Platforms - Global Pharmaceutical Company,Toptal,"AI Engineer, Python / Backend, Full Stack",remote,Anywhere in the World,Worldwide remote,Yes,"Python, Machine Learning, Full Stack",unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/toptal-tech-lead-manufacturing-data-ai-platforms-global-pharmaceutical-company,,,,toptal.com,Headquarters: Summary We are looking for a Tech Lead to take ownership of a delivery portfolio within a Manufacturing Engineering group that builds the data products the plant depends on. This is a hands-on leadership role focused on shipping and operating manufacturing data…,,,,,
18,AI/ML Engineer,Mustakbil Tech,AI Engineer,unknown,Karachi,Unknown,Maybe,Machine Learning,unspecified,Maybe,,,,career-page,https://www.mustakbil.com/jobs/job/1434000,,,,mustakbil.com,,,,,,
18,Online AI/ML Engineer,Mustakbil Tech,AI Engineer,unknown,Karachi,Unknown,Maybe,Machine Learning,unspecified,Maybe,,,,career-page,https://www.mustakbil.com/jobs/job/1434000,,,,mustakbil.com,,,,,,
17,Web Developer Intern,Business Web Solutions,"Frontend Engineer, Python / Backend",remote,Anywhere in the World,Worldwide remote,Yes,"Backend, Frontend",junior,Yes,,Back-End Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/business-web-solutions-web-developer-intern,,,,,"Headquarters: URL: http://businesswebsolutions.us This is a remote position. Job Overview We are looking for aspiring Web Developer Interns who want to gain practical experience in website development and design. This remote internship, lasting between 1 and 6 months, allows…",,,,,
17,Software Engineer - Solutions Engineering,Canonical Ltd.,"Software Engineer, Python / Backend",remote,Anywhere,Worldwide remote,Yes,Python,unspecified,Maybe,,Full-Time,2026-07-21,Jobicy,https://jobicy.com/jobs/149560-software-engineer-solutions-engineering,,,,canonical.com,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and…",,,,,
17,"Software Engineer, Sustaining Engineering",Canonical Ltd.,"Software Engineer, Python / Backend",remote,Anywhere,Worldwide remote,Yes,Python,unspecified,Maybe,,Full-Time,2026-07-21,Jobicy,https://jobicy.com/jobs/149524-software-engineer-sustaining-engineering,,,,canonical.com,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and…",,,,,
15,AI-Native Software Developer,OnTheGoSystems,"Software Engineer, Python / Backend",remote,Anywhere in the World,Worldwide remote,Yes,Backend,unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/onthegosystems-ai-native-software-developer,,,,onthegosystems.com,"Headquarters: Remote URL: http://onthegosystems.com About OTGS At OnTheGoSystems, we build products used by hundreds of thousands of websites worldwide. We're a fully remote, international team that values ownership, curiosity, and high engineering standards. We use AI every…",,,,,
14,Open Source Networking Software Engineer - ToR Switch / SmartNIC / DPU,Canonical Ltd.,"Software Engineer, Python / Backend",remote,"APAC,  LATAM,  Canada,  China,  USA",Timezone / APAC remote,Maybe,Python,unspecified,Maybe,,Full-Time,2026-08-09,Jobicy,https://jobicy.com/jobs/150360-open-source-networking-software-engineer-tor-switch-smartnic-dpu,,,,canonical.com,"Software has moved to play a central role in network technology. From outstanding routing implementations like Bird and FRR to overlay networking technology such as OVN/OVS and Cilium, from kernel with SwitchDev to userspace with DPDK, from P4 to OpenFlow, the relationship…",Remote with APAC/timezone overlap — worth applying.,,,,
14,️ Location Services Engineer | Maps Platform (Remote in Europe),MapTiler,"Frontend Engineer, Python / Backend",remote,Anywhere in the World,Worldwide remote,Yes,"TypeScript, Python",unspecified,Maybe,,Back-End Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/maptiler-location-services-engineer-maps-platform-remote-in-europe,,,,maptiler.com,"Headquarters: Zug, Switzerland URL: https://www.maptiler.com/ Full-time Remote in Europe Description Are you passionate about enhancing customer experiences through geospatial technology? MapTiler is seeking a Location Services Engineer to join our team of software engineers…",,,,,
12,Full Stack Developer,Mustakbil Tech,Full Stack,unknown,Karachi,Unknown,Maybe,Full Stack,unspecified,Maybe,,,,career-page,https://www.mustakbil.com/jobs/job/1434035,,,,mustakbil.com,,,,,,
11,Ubuntu Engineering Lead,Canonical Ltd.,Python / Backend,remote,Anywhere,Worldwide remote,Yes,Python,unspecified,Maybe,,Full-Time,2026-07-21,Jobicy,https://jobicy.com/jobs/149537-ubuntu-engineering-lead,,,,canonical.com,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and…",,,,,
11,"Data Analyst, Reporting Partnerships",Doximity,Python / Backend,remote,Anywhere in the World,Worldwide remote,Yes,Python,unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/doximity-data-analyst-reporting-partnerships,,,,doximity.com,"Headquarters: San Francisco, CA or Remote (U.S.) Doximity is transforming the healthcare industry. Join our mission to help every physician be more productive and provide better care for their patients. As medicine's largest network in the United States, there's an elevated…",,,,,
11,AI Strategy Consultant,Hightouch,Python / Backend,remote,Anywhere in the World,Worldwide remote,Yes,Python,unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/hightouch-ai-strategy-consultant,,,,hightouch.com,"Headquarters: Remote (North America) About Hightouch Hightouch is an Agentic Marketing Platform powered by the industry-leading Composable CDP. With complete brand context, customer data, and performance history in one place, every marketer finally has the power to build and…",,,,,
11,"Security Analyst, Bug Bounty",Stripe,Python / Backend,remote,Anywhere in the World,Worldwide remote,Yes,Python,unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/stripe-security-analyst-bug-bounty,,,,stripe.com,"Headquarters: Remote, North America Who we are About Stripe Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate…",,,,,
11,Data Scientist for Top Cosmetic firm,Toptal,AI Engineer,remote,Anywhere in the World,Worldwide remote,Yes,AI Engineering,unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/toptal-data-scientist-for-top-cosmetic-firm,,,,toptal.com,"Headquarters: Summary We are seeking a Data Scientist to analyze anonymized consumer interaction data and uncover patterns in unstructured language across call center and cross-channel conversations. The primary goal is to identify intent, surface trends, and turn language into…",,,,,
11,Non-Linguistic QC (China / US Time Zone),Welo Global,AI Engineer,remote,Anywhere,Worldwide remote,Yes,Machine Learning,unspecified,Maybe,,Full-Time,2026-08-06,Jobicy,https://jobicy.com/jobs/150271-non-linguistic-qc-china-us-time-zone,,,,,"The Talent Management team is currently recruiting linguists willing to joining our team of Non-Linguistic Quality Coordination (QC) task specialists. As a trusted global transformation partner, Welocalize accelerates the global business journey by enabling brands and companies…",,,,,
10,AI Governance SME,10Pearls,,remote,"Lahore, Karachi, Islamabad, Pakistan",Karachi remote,Yes,,unspecified,Maybe,,,,JazzHR/10Pearls,https://10pearls.applytojob.com/apply/o3iV02seg2/AI-Governance-SME,careers@10pearls.com,known company contact,info@10pearls.com,10pearls.com,"AI Governance SME Lahore, Karachi, Islamabad, Pakistan 10Pearls",,,,,
10,Product Manager (AI Products) - Morning/Afternoon Shift,10Pearls,,remote,"Karachi, Islamabad, Karachi, Islamabad, Pakistan",Karachi remote,Yes,,unspecified,Maybe,,,,JazzHR/10Pearls,https://10pearls.applytojob.com/apply/eYaJRx6Uhq/Product-Manager-AI-Products-MorningAfternoon-Shift,careers@10pearls.com,known company contact,info@10pearls.com,10pearls.com,"Product Manager (AI Products) - Morning/Afternoon Shift Karachi, Islamabad, Karachi, Islamabad, Pakistan 10Pearls",,,,,
10,Software Consultant - .Net+Redis - Morning Shift,10Pearls,,remote,"Lahore, Karachi, Pakistan",Karachi remote,Yes,,unspecified,Maybe,,,,JazzHR/10Pearls,https://10pearls.applytojob.com/apply/uzHZ84QaX6/Software-Consultant-NetRedis-Morning-Shift,careers@10pearls.com,known company contact,info@10pearls.com,10pearls.com,"Software Consultant - .Net+Redis - Morning Shift Lahore, Karachi, Pakistan 10Pearls",,,,,
10,Software Consultant - IBM SOA,10Pearls,,remote,"Lahore, Karachi, Islamabad, Pakistan",Karachi remote,Yes,,unspecified,Maybe,,,,JazzHR/10Pearls,https://10pearls.applytojob.com/apply/QrqBkrh96D/Software-Consultant-IBM-SOA,careers@10pearls.com,known company contact,info@10pearls.com,10pearls.com,"Software Consultant - IBM SOA Lahore, Karachi, Islamabad, Pakistan 10Pearls",,,,,
10,"AI Automations Engineer Apply 100% remote Full-time Part-time Islamabad, Lahore, Karachi, Remote Apply",SadaPay,,remote,Pakistan,Karachi remote,Yes,,unspecified,Maybe,,,,SadaPay,https://sadapay.pk/jobs-listing/ai-automations-engineer,careers@sadapay.pk,known company contact,hello@sadapay.pk,sadapay.pk,"AI Automations Engineer Apply 100% remote Full-time Part-time Islamabad, Lahore, Karachi, Remote Apply SadaPay Pakistan",,,,,
10,Product Engineer II - QA,Tamara,Product Engineer,remote,India,Timezone / APAC remote,Maybe,,unspecified,Maybe,,,2026-08-09,Greenhouse/Tamara,https://job-boards.eu.greenhouse.io/tamara/jobs/4822298101,,,,tamara.co,Product Engineer II - QA India Tamara,Remote with APAC/timezone overlap — worth applying.,,,,
10,Product Engineer II - Web,Tamara,Product Engineer,remote,India,Timezone / APAC remote,Maybe,,unspecified,Maybe,,,2026-08-09,Greenhouse/Tamara,https://job-boards.eu.greenhouse.io/tamara/jobs/4680072101,,,,tamara.co,Product Engineer II - Web India Tamara,Remote with APAC/timezone overlap — worth applying.,,,,
9,Software Engineer - Java,Celonis,Software Engineer,remote,"Bangalore, India",Timezone / APAC remote,Maybe,,unspecified,Maybe,,,2026-07-24,Greenhouse/Celonis,https://job-boards.greenhouse.io/celonis/jobs/7791275003?gh_jid=7791275003,,,,celonis.com,"Software Engineer - Java Bangalore, India Celonis",Remote with APAC/timezone overlap — worth applying.,,,,
9,Software Engineer - SAP ABAP,Celonis,Software Engineer,remote,"Bangalore, India",Timezone / APAC remote,Maybe,,unspecified,Maybe,,,2026-07-24,Greenhouse/Celonis,https://job-boards.greenhouse.io/celonis/jobs/7559247003?gh_jid=7559247003,,,,celonis.com,"Software Engineer - SAP ABAP Bangalore, India Celonis",Remote with APAC/timezone overlap — worth applying.,,,,
9,Web Developer,Charles Technology Africa,,remote,Remote,Worldwide remote,Yes,JavaScript,unspecified,Maybe,,Front-End Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/charles-technology-africa-web-developer,,,,,"Headquarters: Accra, Remote, Ghana URL: http://meisterpiece.com JOB DESCRIPTION Charles Technology Africa seeks to hire a Web Developer to independently design, develop, and maintain both external and internal Websites and applications that leverage the WordPress Content…",,,,,
9,"Software Engineer, Internal Systems",Stripe,Software Engineer,remote,"Bengaluru, India",Timezone / APAC remote,Maybe,,unspecified,Maybe,,,2026-08-06,Greenhouse/Stripe,https://stripe.com/jobs/search?gh_jid=7543868,,,,stripe.com,"Software Engineer, Internal Systems Bengaluru, India Stripe",Remote with APAC/timezone overlap — worth applying.,,,,
9,Software Engineer,Turing,Software Engineer,remote,India - Remote,Timezone / APAC remote,Maybe,,unspecified,Maybe,,,2026-07-20,Greenhouse/Turing,https://job-boards.greenhouse.io/turing/jobs/6115695004,,,,turing.com,Software Engineer India - Remote Turing,Remote with APAC/timezone overlap — worth applying.,,,,
8,Embedded Linux Consultant - Japan,Canonical Ltd.,Python / Backend,remote,APAC,Timezone / APAC remote,Maybe,Python,unspecified,Maybe,,Full-Time,2026-08-09,Jobicy,https://jobicy.com/jobs/150361-embedded-linux-consultant-japan,,,,canonical.com,"Job Description Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering…",Remote with APAC/timezone overlap — worth applying.,,,,
8,Ubuntu Linux Kernel Test Engineer,Canonical Ltd.,Python / Backend,remote,"APAC,  China",Timezone / APAC remote,Maybe,Python,unspecified,Maybe,,Full-Time,2026-08-13,Jobicy,https://jobicy.com/jobs/145995-ubuntu-linux-kernel-test-engineer,,,,canonical.com,"Ubuntu is the most widely used Linux distribution in the world, delivering kernels across a vast matrix of versions, architectures, and configurations – with up to 15 years of security and maintenance commitments for Long Term Support (LTS) releases. Ensuring the quality and…",Remote with APAC/timezone overlap — worth applying.,,,,
7,Product Engineer,Linear,Product Engineer,unknown,North America,North America,Maybe,,unspecified,Maybe,,,,Ashby/Linear,https://jobs.ashbyhq.com/Linear/0c7c2e26-0a98-42cf-a47c-9a3999fb513b,,,,linear.app,,,,,,
6,Forward Deployed Engineer,Codecov,,unknown,"Bengaluru, Karnataka, India",Timezone / APAC remote,Maybe,,unspecified,Maybe,,,,Greenhouse/harnessinc,https://www.harness.io/company/jobs/apply?gh_jid=5062241007&gh_jid=5062241007,,,,codecov.io,,Remote with APAC/timezone overlap — worth applying.,,,,
6,Customer Support Engineer,dbt Labs,,unknown,Remote,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.fivetran.com/careers/job?gh_jid=7626166003,,,,getdbt.com,,,,,,
