Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
Monzo,Europe,London / remote,careers@monzo.com,company website,"hr@monzo.com, u003ehelp@monzo.com",monzo.com,https://monzo.com/careers,
N26,Europe,Berlin / remote,careers@n26.com,company website,"imprint@n26.com, officials@n26.com, nimprint@n26.com, sam.walker@n26.com, hr@n26.com, jobs@n26.com, talent@n26.com, recruiting@n26.com",n26.com,https://n26.com/en-eu/careers/positions/8020406?gh_jid=8020406,Principal AI Engineer - Conversational Banking
Nexthink,Europe,Lausanne / remote,careers@nexthink.com,company website,"ncontact@nexthink.com, hr@nexthink.com",nexthink.com,https://nexthink.com/careers,
Nord Security,Europe,Vilnius / remote,career@nordsec.com,company website,,nordsecurity.com,https://nordsecurity.com/careers,
OutSystems,Europe,Lisbon / remote,careers@outsystems.com,company website,hr@outsystems.com,outsystems.com,https://outsystems.com/careers,
Personio,Europe,Munich / remote,careers@personio.com,company website,"hello@personio.com, hr@personio.com",personio.com,https://personio.com/careers,
Phaidra,Europe,Europe,hiring@phaidra.ai,job posting,,,https://jobicy.com/jobs/149863-senior-ai-research-engineer,Senior AI Research Engineer
Plausible,Europe,Europe / remote,hello@plausible.io,known + company website,,plausible.io,https://plausible.io/careers,
Pleo,Europe,Copenhagen / remote,partners@pleo.io,company website,info@pleo.io,pleo.io,https://pleo.io/careers,
Proton,Europe,Geneva / remote,careers@proton.me,company website,"hr@proton.me, careers@proton.ch",proton.me,https://proton.me/careers,
RELEX,Europe,Helsinki / remote,careers@relexsolutions.com,company website,"hr@relexsolutions.com, recruitment@relexsolutions.com",relexsolutions.com,https://relexsolutions.com/careers,
Remote,Europe,Lisbon / remote,hiring@remote.com,company website,help@remote.com,remote.com,https://remote.com/careers,
SafetyWing,Europe,Europe / remote,partnerships@safetywing.com,company website,,safetywing.com,https://safetywing.com/careers,
Scandit,Europe,Zurich / remote,contact@scandit.com,company website,,scandit.com,https://scandit.com/careers,
Shift Technology,Europe,Paris / remote,jobs@shift-technology.com,company website,partners@shift-technology.com,shift-technology.com,https://shift-technology.com/careers,
SoundCloud,Europe,Berlin / remote,dsa-contact@soundcloud.com,company website,"tco-contact@soundcloud.com, u003edsa-contact@soundcloud.com, u003etco-contact@soundcloud.com, recruiters@soundcloud.com, fraudulent-emails@soundcloud.com",soundcloud.com,https://soundcloud.com/careers,
Stability AI,Europe,London / remote,partners@stability.ai,company website,,stability.ai,https://stability.ai/careers,
Starling Bank,Europe,London / remote,help@starlingbank.com,company website,"speaking.invitations@starlingbank.com, brandpartnerships@starlingbank.com, accounts@starlingbank.com",starlingbank.com,https://starlingbank.com/careers,
Swan,Europe,Paris / remote,requisition@swan.io,company website,,swan.io,https://swan.io/careers,
Teamwork,Europe,Cork / remote,jobs@teamwork.com,company website,,teamwork.com,https://teamwork.com/careers,
Tide,Europe,London / remote,hello@tide.co,company website,complaints@tide.co,tide.co,https://tide.co/careers,
TomTom,Europe,Amsterdam / remote,productsafetyquestions@tomtom.com,company website,,tomtom.com,https://tomtom.com/careers,
Typeform,Europe,Barcelona / remote,email@typeform.com,company website,,typeform.com,https://typeform.com/careers,
Vivaldi,Europe,Oslo / remote,team_vivaldi@vivaldi.com,company website,,vivaldi.com,https://vivaldi.com/careers,
Wefox,Europe,Berlin / remote,careers@wefox.com,company website,"feedback@wefox.com, hr@wefox.com",wefox.com,https://wefox.com/careers,
Wise,Europe,London / remote,ouvidoria@wise.com,company website,u003eouvidoria@wise.com,wise.com,https://wise.com/careers,
Xeneta,Europe,Oslo / remote,talent@xeneta.com,company website,info@xeneta.com,xeneta.com,https://xeneta.com/careers,
6sense,Remote,USA,jobs@6sense.com,job posting,,,https://jobicy.com/jobs/147747-senior-software-engineer,Senior Software Engineer
Azumo,Remote,Buenos Aires,people@azumo.co,job posting,,,https://weworkremotely.com/remote-jobs/azumo-technical-leader-latin-america,Technical Leader - Latin America
Basecamp,Remote,Worldwide remote,jason@basecamp.com,company website,,basecamp.com,https://basecamp.com/careers,
Caylent,Remote,Canada,hr@caylent.com,job posting,talent@caylent.com,,https://jobicy.com/jobs/149035-customer-solutions-architect-amazon-connect,"Customer Solutions Architect, Amazon Connect"
Coursera,Remote,USA,recruiting@coursera.org,job posting,,,https://jobicy.com/jobs/147697-senior-seo-manager-2,Senior SEO Manager
Cresta,Remote,Canada,recruiting@cresta.ai,job posting,,,https://jobicy.com/jobs/146081-senior-software-engineer-backend-platform-team,"Senior Software Engineer, Backend - Platform Team"
Customer.io,Remote,"LATAM,  Canada,  USA",jobs@customer.io,job posting,,,https://jobicy.com/jobs/144856-senior-data-scientist-4,Senior Data Scientist
Deepgram,Remote,APAC,careers@deepgram.com,job posting,,,https://jobicy.com/jobs/150352-senior-pre-sales-engineer-singapore,Senior Pre-Sales Engineer (Singapore)
Freshworks,Remote,Worldwide remote,careers@freshworks.com,company website,,freshworks.com,https://freshworks.com/careers,
Mitre Media,Remote,"USA, Canada, USA timezones",jobs@mitremedia.com,job posting,,,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,Tech Lead Full-Stack Rails Engineer
Pair Team,Remote,USA,recruiting@pairteam.com,job posting,,,https://jobicy.com/jobs/146199-senior-security-engineer,Senior Security Engineer
PointClickCare,Remote,Canada,recruitment@pointclickcare.com,job posting,,,https://jobicy.com/jobs/149241-canada-sr-application-engineer-salesforce-agentforce-ai,Canada- Sr Application Engineer (Salesforce-Agentforce Ai)
Postman,Remote,Worldwide remote,info@postman.com,company website,"info-jp@postman.com, u003einfo@postman.com, u003einfo-jp@postman.com",postman.com,https://postman.com/careers,
Resend,Remote,Worldwide remote,careers@resend.com,company website,security@resend.com,resend.com,https://resend.com/careers,
Rippling,Remote,Worldwide remote,globalnotices@rippling.com,company website,,rippling.com,https://rippling.com/careers,
Supabase,Remote,Worldwide remote,abuse@supabase.com,company website,"security@supabase.com, help-events@supabase.com",supabase.com,https://supabase.com/careers,
WorkOS,Remote,Worldwide remote,hello@workos.com,company website,,workos.com,https://workos.com/careers,
