Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
QCRI,Qatar,Doha,careers@qcri.org,guessed pattern (verify before sending),hr@qcri.org,qcri.org,https://qcri.org/careers,
QNB Digital,Qatar,Doha,careers@qnb.com,guessed pattern (verify before sending),hr@qnb.com,qnb.com,https://qnb.com/careers,
Rafeeq,Qatar,Doha / remote,careers@rafeeqapp.com,guessed pattern (verify before sending),hr@rafeeqapp.com,rafeeqapp.com,https://rafeeqapp.com/careers,
Sidra Medicine Digital,Qatar,Doha,international.services@sidra.org,company website,patientfeedback@sidra.org,sidra.org,https://sidra.org/careers,
Snoonu,Qatar,Doha / remote,careers@snoonu.com,guessed pattern (verify before sending),hr@snoonu.com,snoonu.com,https://snoonu.com/careers,
Vodafone Qatar,Qatar,Doha,careers@vodafone.qa,guessed pattern (verify before sending),hr@vodafone.qa,vodafone.qa,https://vodafone.qa/careers,
Woqod,Qatar,Doha,careers@woqod.com.qa,guessed pattern (verify before sending),hr@woqod.com.qa,woqod.com.qa,https://woqod.com.qa/careers,
Almoayyed Computers,Bahrain,Manama,careers@almoayyed.com,company website,"hr@almoayyed.com, jobs@almoayyed.com, crm@almoayyed.com",almoayyed.com,https://almoayyed.com/careers,
Bahrain FinTech Bay,Bahrain,Manama,careers@bahrainfintechbay.com,guessed pattern (verify before sending),hr@bahrainfintechbay.com,bahrainfintechbay.com,https://bahrainfintechbay.com/careers,
Batelco,Bahrain,Manama,careers@batelco.com,guessed pattern (verify before sending),hr@batelco.com,batelco.com,https://batelco.com/careers,
Benefit,Bahrain,Manama,careers@benefit.bh,guessed pattern (verify before sending),hr@benefit.bh,benefit.bh,https://benefit.bh/careers,
Beyon / Batelco,Bahrain,Manama,careers@beyon.com,guessed pattern (verify before sending),hr@beyon.com,beyon.com,https://beyon.com/careers,
BMMI Group Digital,Bahrain,Manama,careers@bmmi.com,guessed pattern (verify before sending),hr@bmmi.com,bmmi.com,https://bmmi.com/careers,
C5 Accelerate,Bahrain,Manama,careers@c5accelerate.com,guessed pattern (verify before sending),hr@c5accelerate.com,c5accelerate.com,https://c5accelerate.com/careers,
CrediMax,Bahrain,Manama,careers@credimax.com.bh,guessed pattern (verify before sending),hr@credimax.com.bh,credimax.com.bh,https://credimax.com.bh/careers,
Fakhro Electronics,Bahrain,Manama,info@fakhro.com,company website,,fakhro.com,https://fakhro.com/careers,
GFH Financial,Bahrain,Manama,careers@gfh.com,guessed pattern (verify before sending),hr@gfh.com,gfh.com,https://gfh.com/careers,
Investcorp,Bahrain,Manama,careers@investcorp.com,company website,"corpcomms@investcorp.com, investorrelations@investcorp.com, reportcyberfraud@investcorp.com, info@investcorp.com, clientcomplaintsofficer@investcorp.com",investcorp.com,https://investcorp.com/careers,
Ithmaar Bank Digital,Bahrain,Manama,careers@ithmaarbank.com,guessed pattern (verify before sending),hr@ithmaarbank.com,ithmaarbank.com,https://ithmaarbank.com/careers,
Rain Bahrain,Bahrain,Manama,careers@rain.bh,guessed pattern (verify before sending),hr@rain.bh,rain.bh,https://rain.bh/careers,
stc Bahrain,Bahrain,Manama,careers@stc.com.bh,guessed pattern (verify before sending),hr@stc.com.bh,stc.com.bh,https://stc.com.bh/careers,
Tarabut,Bahrain,Manama / remote,info@tarabut.com,company website,,tarabut.com,https://tarabut.com/careers,
Tenmou,Bahrain,Manama,info@tenmou.me,company website,,tenmou.me,https://tenmou.me/careers,
Agility,Kuwait,Kuwait / remote,careers@agility.com,guessed pattern (verify before sending),hr@agility.com,agility.com,https://agility.com/careers,
Boutiqaat,Kuwait,Kuwait,careers@boutiqaat.com,guessed pattern (verify before sending),hr@boutiqaat.com,boutiqaat.com,https://boutiqaat.com/careers,
Gulf Bank,Kuwait,Kuwait,careers@e-gulfbank.com,guessed pattern (verify before sending),hr@e-gulfbank.com,e-gulfbank.com,https://e-gulfbank.com/careers,
Kuwait Finance House,Kuwait,Kuwait,careers@kfh.com,guessed pattern (verify before sending),hr@kfh.com,kfh.com,https://kfh.com/careers,
MyFatoorah,Kuwait,Kuwait / Bahrain,careers@myfatoorah.com,guessed pattern (verify before sending),hr@myfatoorah.com,myfatoorah.com,https://myfatoorah.com/careers,
NBK Digital,Kuwait,Kuwait,careers@nbk.com,company website,"hr@nbk.com, yourcareer@nbk.com.eg",nbk.com,https://nbk.com/careers,
stc Kuwait,Kuwait,Kuwait,careers@stc.com.kw,guessed pattern (verify before sending),hr@stc.com.kw,stc.com.kw,https://stc.com.kw/careers,
Tap Payments,Kuwait,Kuwait / remote,careers@tap.company,guessed pattern (verify before sending),hr@tap.company,tap.company,https://tap.company/careers,
Zain,Kuwait,Kuwait / remote,careers@zain.com,guessed pattern (verify before sending),hr@zain.com,zain.com,https://zain.com/careers,
Zain Cash,Kuwait,Kuwait / Iraq,careers@zaincash.iq,guessed pattern (verify before sending),hr@zaincash.iq,zaincash.iq,https://zaincash.iq/careers,
Awasr,Oman,Muscat,careers@awasr.om,guessed pattern (verify before sending),hr@awasr.om,awasr.om,https://awasr.om/careers,
Bank Muscat Digital,Oman,Muscat,care@bankmuscat.com,company website,,bankmuscat.com,https://bankmuscat.com/careers,
Oman Arab Bank Digital,Oman,Muscat,careers@oman-arabbank.com,company website,"hr@oman-arabbank.com, career@oman-arabbank.com",oman-arabbank.com,https://oman-arabbank.com/careers,
Omantel,Oman,Muscat,self.service@omantel.om,company website,u003ebusiness@omantel.om,omantel.om,https://omantel.om/careers,
Ooredoo Oman,Oman,Muscat,b2boutbound@ooredoo.om,company website,,ooredoo.om,https://ooredoo.om/careers,
AIQ,UAE,Abu Dhabi,careers@aiq.com,company website,"hr@aiq.com, partnerships@aiq.com",aiq.com,https://aiq.com/careers,
Barakat,UAE,Dubai,info@barakatfresh.ae,company website,,barakatfresh.ae,https://barakatfresh.ae/careers,
Bayanat,UAE,Abu Dhabi,careers@bayanat.ai,guessed pattern (verify before sending),hr@bayanat.ai,bayanat.ai,https://bayanat.ai/careers,
Beehive,UAE,Dubai / remote,info@beehive.ae,company website,"sme@beehive.ae, investors@beehive.ae",beehive.ae,https://beehive.ae/careers,
BitOasis,UAE,Dubai / remote,careers@bitoasis.net,guessed pattern (verify before sending),hr@bitoasis.net,bitoasis.net,https://bitoasis.net/careers,
Botim,UAE,Dubai / remote,careers@botim.me,company website,"customerservice@botim.me, contact@botim.me, hr@botim.me",botim.me,https://botim.me/careers,
Cafu,UAE,Dubai,careers@cafu.com,guessed pattern (verify before sending),hr@cafu.com,cafu.com,https://cafu.com/careers,
Cartlow,UAE,Dubai / remote,hello@cartlow.com,company website,,cartlow.com,https://cartlow.com/careers,
Checkout.com,UAE,Dubai / remote,careers@checkout.com,known + company website,"pr@checkout.com, yourpayments@checkout.com, talent.acquisition@checkout.com",checkout.com,https://checkout.com/careers,
Core42,UAE,Abu Dhabi / remote,careers@core42.ai,guessed pattern (verify before sending),hr@core42.ai,core42.ai,https://core42.ai/careers,
Digital14,UAE,Abu Dhabi,careers@digital14.com,guessed pattern (verify before sending),hr@digital14.com,digital14.com,https://digital14.com/careers,
El Grocer,UAE,Dubai,careers@elgrocer.com,guessed pattern (verify before sending),hr@elgrocer.com,elgrocer.com,https://elgrocer.com/careers,
Emitac,UAE,Dubai,careers@emitac.ae,guessed pattern (verify before sending),hr@emitac.ae,emitac.ae,https://emitac.ae/careers,
G42,UAE,Abu Dhabi / remote,contact@g42.ai,company website,,g42.ai,https://g42.ai/careers,
Intertec Systems,UAE,Dubai,careers@intertec.co,guessed pattern (verify before sending),hr@intertec.co,intertec.co,https://intertec.co/careers,
Jawaker,UAE,Dubai / remote,careers@jawaker.com,guessed pattern (verify before sending),hr@jawaker.com,jawaker.com,https://jawaker.com/careers,
Kibsons,UAE,Dubai,careers@kibsons.com,guessed pattern (verify before sending),hr@kibsons.com,kibsons.com,https://kibsons.com/careers,
Magnati,UAE,Abu Dhabi,careers@magnati.com,guessed pattern (verify before sending),hr@magnati.com,magnati.com,https://magnati.com/careers,
Magnitt,UAE,Dubai / remote,info@magnitt.com,company website,,magnitt.com,https://magnitt.com/careers,
MBC Group / Shahid,UAE,Dubai,careers@mbc.net,company website,"care@mbc.net, contact@mbc.net, investor.relations@mbc.net",mbc.net,https://mbc.net/careers,
Mumzworld,UAE,Dubai,careers@mumzworld.com,guessed pattern (verify before sending),hr@mumzworld.com,mumzworld.com,https://mumzworld.com/careers,
Namshi,UAE,Dubai,careers@namshi.com,guessed pattern (verify before sending),hr@namshi.com,namshi.com,https://namshi.com/careers,
Network International,UAE,Dubai,careers@network.global,guessed pattern (verify before sending),hr@network.global,network.global,https://network.global/careers,
Now Money,UAE,Dubai / remote,pr@nowmoney.me,company website,recruitment@nowmoney.me,nowmoney.me,https://nowmoney.me/careers,
NymCard,UAE,Abu Dhabi / remote,careers@nymcard.com,guessed pattern (verify before sending),hr@nymcard.com,nymcard.com,https://nymcard.com/careers,
PayBy,UAE,Dubai / remote,careers@payby.com,guessed pattern (verify before sending),hr@payby.com,payby.com,https://payby.com/careers,
Postpay,UAE,Dubai / remote,careers@postpay.io,guessed pattern (verify before sending),hr@postpay.io,postpay.io,https://postpay.io/careers,
Presight,UAE,Abu Dhabi / remote,careers@presight.ai,guessed pattern (verify before sending),hr@presight.ai,presight.ai,https://presight.ai/careers,
Pure Harvest,UAE,Abu Dhabi,careers@pureharvest.ae,guessed pattern (verify before sending),hr@pureharvest.ae,pureharvest.ae,https://pureharvest.ae/careers,
RemotePass,UAE,Dubai / remote,careers@remotepass.com,guessed pattern (verify before sending),hr@remotepass.com,remotepass.com,https://remotepass.com/careers,
Shipa,UAE,Dubai,careers@shipa.com,guessed pattern (verify before sending),hr@shipa.com,shipa.com,https://shipa.com/careers,
Silal,UAE,Abu Dhabi / remote,careers@silal.ae,guessed pattern (verify before sending),hr@silal.ae,silal.ae,https://silal.ae/careers,
SmartCrowd,UAE,Dubai,careers@smartcrowd.ae,guessed pattern (verify before sending),hr@smartcrowd.ae,smartcrowd.ae,https://smartcrowd.ae/careers,
Starzplay,UAE,Dubai / remote,careers@starzplay.com,guessed pattern (verify before sending),hr@starzplay.com,starzplay.com,https://starzplay.com/careers,
Tajawal,UAE,Dubai / remote,careers@tajawal.com,guessed pattern (verify before sending),hr@tajawal.com,tajawal.com,https://tajawal.com/careers,
Telr,UAE,Dubai / remote,partner@telr.com,company website,,telr.com,https://telr.com/careers,
Trukker,UAE,Dubai / remote,careers@trukker.com,company website,"hr@trukker.com, career@trukker.com",trukker.com,https://trukker.com/careers,
Wahed,UAE,Dubai / remote,careers@wahed.com,guessed pattern (verify before sending),hr@wahed.com,wahed.com,https://wahed.com/careers,
YAP,UAE,Dubai / remote,careers@yap.com,guessed pattern (verify before sending),hr@yap.com,yap.com,https://yap.com/careers,
Yellow Door Energy,UAE,Dubai,careers@yellowdoorenergy.com,guessed pattern (verify before sending),hr@yellowdoorenergy.com,yellowdoorenergy.com,https://yellowdoorenergy.com/careers,
Almosafer,KSA,Riyadh / remote,careers@almosafer.com,company website,"hr@almosafer.com, u003ecareers@almosafer.com",almosafer.com,https://almosafer.com/careers,
Elm,KSA,Riyadh / remote,careers@elm.sa,guessed pattern (verify before sending),hr@elm.sa,elm.sa,https://elm.sa/careers,
Flynas Digital,KSA,Riyadh,careers@flynas.com,guessed pattern (verify before sending),hr@flynas.com,flynas.com,https://flynas.com/careers,
Hala,KSA,Riyadh / remote,careers@halacards.com,guessed pattern (verify before sending),hr@halacards.com,halacards.com,https://halacards.com/careers,
Lucidya,KSA,Riyadh / remote,adedic@lucidya.com,company website,ai-report@lucidya.com,lucidya.com,https://lucidya.com/careers,
Mobily,KSA,Riyadh,careers@mobily.com.sa,guessed pattern (verify before sending),hr@mobily.com.sa,mobily.com.sa,https://mobily.com.sa/careers,
Mostaql,KSA,Riyadh / remote,careers@mostaql.com,guessed pattern (verify before sending),hr@mostaql.com,mostaql.com,https://mostaql.com/careers,
Moyasar,KSA,Riyadh / remote,careers@moyasar.com,guessed pattern (verify before sending),hr@moyasar.com,moyasar.com,https://moyasar.com/careers,
Mrsool,KSA,Riyadh / remote,careers@mrsool.co,guessed pattern (verify before sending),hr@mrsool.co,mrsool.co,https://mrsool.co/careers,
Nana,KSA,Riyadh / remote,careers@nana.sa,company website,hr@nana.sa,nana.sa,https://nana.sa/careers,
Nearpay,KSA,Riyadh / remote,careers@nearpay.io,guessed pattern (verify before sending),hr@nearpay.io,nearpay.io,https://nearpay.io/careers,
NEOM,KSA,NEOM / remote,careers@neom.com,guessed pattern (verify before sending),hr@neom.com,neom.com,https://neom.com/careers,
Ninja KSA,KSA,Riyadh,careers@ninja.sa,guessed pattern (verify before sending),hr@ninja.sa,ninja.sa,https://ninja.sa/careers,
Qiddiya,KSA,Riyadh,careers@qiddiya.com,guessed pattern (verify before sending),hr@qiddiya.com,qiddiya.com,https://qiddiya.com/careers,
QnE,KSA,Riyadh,info@qne.com.sa,company website,,qne.com.sa,https://qne.com.sa/careers,
Red Sea Global,KSA,Jeddah / remote,careers@redseaglobal.com,guessed pattern (verify before sending),hr@redseaglobal.com,redseaglobal.com,https://redseaglobal.com/careers,
Sary,KSA,Riyadh / remote,careers@sary.com,guessed pattern (verify before sending),hr@sary.com,sary.com,https://sary.com/careers,
Saudi Aramco Digital,KSA,Dhahran,careers@aramco.com,guessed pattern (verify before sending),hr@aramco.com,aramco.com,https://aramco.com/careers,
Saudi Payments / mada,KSA,Riyadh,careers@saudipayments.com,guessed pattern (verify before sending),hr@saudipayments.com,saudipayments.com,https://saudipayments.com/careers,
SDAIA,KSA,Riyadh,careers@sdaia.gov.sa,guessed pattern (verify before sending),hr@sdaia.gov.sa,sdaia.gov.sa,https://sdaia.gov.sa/careers,
Seera,KSA,Riyadh,investors@seera.sa,company website,,seera.sa,https://seera.sa/careers,
Solutions by stc,KSA,Riyadh,careers@solutions.com.sa,guessed pattern (verify before sending),hr@solutions.com.sa,solutions.com.sa,https://solutions.com.sa/careers,
Soum,KSA,Riyadh / remote,careers@soum.sa,guessed pattern (verify before sending),hr@soum.sa,soum.sa,https://soum.sa/careers,
stc pay,KSA,Riyadh,careers@stcpay.com.sa,guessed pattern (verify before sending),hr@stcpay.com.sa,stcpay.com.sa,https://stcpay.com.sa/careers,
Tamkeen Technologies,KSA,Riyadh,info@tamkeentech.sa,company website,,tamkeentech.sa,https://tamkeentech.sa/careers,
The Chefz,KSA,Riyadh,careers@thechefz.co,guessed pattern (verify before sending),hr@thechefz.co,thechefz.co,https://thechefz.co/careers,
ToYou,KSA,Riyadh,careers@toyou.io,guessed pattern (verify before sending),hr@toyou.io,toyou.io,https://toyou.io/careers,
Zain KSA,KSA,Riyadh,careers@sa.zain.com,guessed pattern (verify before sending),hr@sa.zain.com,sa.zain.com,https://sa.zain.com/careers,
Bosta,Egypt,Cairo / remote,careers@bosta.co,guessed pattern (verify before sending),hr@bosta.co,bosta.co,https://bosta.co/careers,
Breadfast,Egypt,Cairo / remote,inquiries@breadfast.com,company website,,breadfast.com,https://breadfast.com/careers,
Cequens,Egypt,Cairo / remote,hello@cequens.com,company website,,cequens.com,https://cequens.com/careers,
DSquares,Egypt,Cairo / remote,careers@dsquares.com,guessed pattern (verify before sending),hr@dsquares.com,dsquares.com,https://dsquares.com/careers,
Elmenus,Egypt,Cairo,guest@elmenus.com,company website,,elmenus.com,https://elmenus.com/careers,
Flat6Labs,Egypt,Cairo / remote,careers@flat6labs.com,company website,hr@flat6labs.com,flat6labs.com,https://flat6labs.com/careers,
Giza Systems,Egypt,Cairo,careers@gizasystems.com,guessed pattern (verify before sending),hr@gizasystems.com,gizasystems.com,https://gizasystems.com/careers,
Halan / MNT-Halan,Egypt,Cairo,info@halan.com,company website,,halan.com,https://halan.com/careers,
Incorta,Egypt,Cairo / remote,info@incorta.com,company website,,incorta.com,https://incorta.com/careers,
Instant,Egypt,Cairo,careers@instant.com,guessed pattern (verify before sending),hr@instant.com,instant.com,https://instant.com/careers,
ITWorx,Egypt,Cairo / remote,careers@itworx.com,guessed pattern (verify before sending),hr@itworx.com,itworx.com,https://itworx.com/careers,
Khazna,Egypt,Cairo / remote,careers@khazna.app,guessed pattern (verify before sending),hr@khazna.app,khazna.app,https://khazna.app/careers,
Link Development,Egypt,Cairo / remote,careers@linkdev.com,guessed pattern (verify before sending),hr@linkdev.com,linkdev.com,https://linkdev.com/careers,
Money Fellows,Egypt,Cairo / remote,careers@moneyfellows.com,guessed pattern (verify before sending),hr@moneyfellows.com,moneyfellows.com,https://moneyfellows.com/careers,
Paymob Accept,Egypt,Cairo / remote,careers@accept.paymob.com,guessed pattern (verify before sending),hr@accept.paymob.com,accept.paymob.com,https://accept.paymob.com/careers,
Rabbit Mart,Egypt,Cairo,careers@rabbitmart.com,guessed pattern (verify before sending),hr@rabbitmart.com,rabbitmart.com,https://rabbitmart.com/careers,
Raya,Egypt,Cairo,info@rayacorp.com,company website,"fmcg@rayacorp.com, rayait_info@rayacorp.com",rayacorp.com,https://rayacorp.com/careers,
