checked_at,company,email,status,detail
2026-08-11T05:53:51+00:00,Nextbridge,careers@nextbridge.pk,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4814a5"
2026-08-11T05:53:56+00:00,PakWheels,careers@pakwheels.com,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4814a7"
2026-08-11T05:54:11+00:00,Rozee,careers@rozee.pk,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-499788"
2026-08-11T05:54:39+00:00,Softech Systems,careers@softechsystems.com,bounce,"softechsystems.com rcpt 550 b'No Such User Here""' | fake:softechsystems.com rcpt 550 b'No Such User Here""'"
2026-08-11T05:56:18+00:00,Vizteck Solutions,careers@vizteck.com,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4814a7"
2026-08-11T05:56:21+00:00,Xgrid,careers@xgrid.co,bounce,"smtp.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4814a746d"
2026-08-11T05:56:24+00:00,Zameen,careers@zameen.com,bounce,"smtp.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4814a746c"
2026-08-11T05:57:14+00:00,Bahrain FinTech Bay,careers@bahrainfintechbay.com,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4814a7"
2026-08-11T05:57:25+00:00,Bayut,careers@bayut.com,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4814a7"
2026-08-11T06:01:55+00:00,Instabug,careers@instabug.com,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-49977e"
2026-08-11T06:03:38+00:00,Mrsool,careers@mrsool.co,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4814a7"
2026-08-11T06:05:58+00:00,Property Finder,careers@propertyfinder.ae,bounce,"aspmx.l.google.com rcpt 550 b'5.2.1 The email account that you tried to reach is inactive. For more\n5.2.1 information, go to\n5.2.1  https://support.google.com/mail/?p=DisabledUser ffacd0b85a97d-4814a5a8ba4si1099406f8f.77 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that yo"
2026-08-11T06:07:48+00:00,Riskified,careers@riskified.com,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4814a7"
2026-08-11T06:08:03+00:00,Sary,careers@sary.com,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4814a7"
2026-08-17T09:42:27+00:00,Ability BPO,careers@abilitybpo.com,bounce,Gmail DSN Address not found
2026-08-17T09:42:27+00:00,Ashrei Tech,careers@ashreitech.com,bounce,Gmail DSN Address not found
2026-08-17T09:42:27+00:00,Bioniks,careers@bioniks.org,bounce,Gmail DSN Address not found
2026-08-17T09:42:27+00:00,Famco Associates,careers@famco.com.pk,bounce,Gmail DSN Address not found
2026-08-17T09:42:27+00:00,Inseyab,careers@inseyab.com,bounce,Gmail DSN Address not found
2026-08-17T09:42:27+00:00,Mahaana,careers@mahaana.com,bounce,Gmail DSN Address not found
2026-08-17T09:42:27+00:00,Mera SABAQ,careers@sabaq.edu.pk,bounce,Gmail DSN Address not found
2026-08-17T09:42:27+00:00,Office Automation Services,careers@oaspakistan.com,bounce,Gmail DSN Address not found
2026-08-17T09:42:27+00:00,RMS Techknowledgy,careers@rmstechknowledgy.com,bounce,Gmail DSN Address not found
2026-08-17T09:42:27+00:00,Salesflo,careers@salesflo.com,bounce,Gmail DSN Address not found
2026-08-17T09:42:27+00:00,The Hive,careers@thehive.pk,bounce,Gmail DSN Address not found
2026-08-17T09:42:27+00:00,Transviti,careers@transviti.com,bounce,Gmail DSN Address not found
2026-08-17T15:12:39+00:00,TomTom,careers@tomtom.com,bounce,Gmail DSN Address not found — mailbox does not exist
2026-08-23T11:42:29+00:00,FlixBus,careers@flixbus.com,bounce,gmail bounce: address not found (aug23 soft-promote)
2026-08-23T11:42:29+00:00,Flix,careers@flix.com,bounce,gmail bounce: address not found (aug23 soft-promote)
2026-08-23T11:42:29+00:00,Fathom Analytics,careers@usefathom.com,bounce,gmail bounce: address not found (aug23 soft-promote)
2026-08-23T11:42:29+00:00,Criteo,careers@criteo.com,bounce,gmail bounce: address not found (aug23 soft-promote)
2026-08-23T11:42:29+00:00,Contents.com,careers@contents.com,bounce,gmail bounce: address not found (aug23 soft-promote)
2026-08-23T11:42:29+00:00,Bol.com,careers@bol.com,bounce,gmail bounce: address not found (aug23 soft-promote)
2026-08-23T11:42:29+00:00,Paktor,careers@paktor.com,bounce,gmail bounce: address not found (aug23 soft-promote)
2026-08-23T11:43:39+00:00,Carsales,careers@carsales.com.au,bounce,gmail DSN: address not found / soft-promote without mailbox proof
2026-08-23T11:43:39+00:00,MatchMove,careers@matchmove.com,bounce,gmail DSN: address not found / soft-promote without mailbox proof
2026-08-23T11:43:39+00:00,MYOB,careers@myob.com,bounce,gmail DSN: address not found / soft-promote without mailbox proof
2026-08-23T11:43:39+00:00,PatSnap,careers@patsnap.com,bounce,gmail DSN: address not found / soft-promote without mailbox proof
2026-08-23T11:43:39+00:00,PropertyGuru,careers@propertyguru.com,bounce,gmail DSN: address not found / soft-promote without mailbox proof
2026-08-23T11:43:39+00:00,Razer,careers@razer.com,bounce,gmail DSN: address not found / soft-promote without mailbox proof
2026-08-23T11:43:39+00:00,REA Group,careers@rea-group.com,bounce,gmail DSN: address not found / soft-promote without mailbox proof
2026-08-23T11:43:39+00:00,Capchase,careers@capchase.com,bounce,gmail DSN: address not found / soft-promote without mailbox proof
2026-08-23T11:43:39+00:00,Curve,careers@curve.com,bounce,gmail DSN: address not found / soft-promote without mailbox proof
2026-08-23T11:43:39+00:00,Featurespace,careers@featurespace.com,bounce,gmail DSN: address not found / soft-promote without mailbox proof
